sep=,
DeviceTag:,ST-1
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-29_15:28:46_338 GMT+2
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,777920851,0.761930,0.002733,-0.000939,-0.647654,0.016776,0.003327,0.064973
2,777937518,0.759858,0.002576,-0.001216,-0.650083,0.003145,0.012538,0.067320
3,777954185,0.760298,0.002785,-0.001263,-0.649567,0.016361,0.009342,0.073613
4,777970852,0.760542,0.002952,-0.001321,-0.649281,-0.009011,0.009191,0.071553
5,777987519,0.760332,0.003020,-0.001309,-0.649526,-0.005247,0.010457,0.083279
6,778004186,0.759592,0.003041,-0.001290,-0.650392,-0.003394,-0.005231,0.067957
7,778020853,0.760070,0.003083,-0.001255,-0.649834,-0.005078,0.014106,0.073459
8,778037520,0.760662,0.003123,-0.001216,-0.649140,-0.008814,0.003424,0.066198
9,778054187,0.760748,0.003146,-0.001200,-0.649039,0.002984,-0.002471,0.080541
10,778070854,0.760442,0.003146,-0.001190,-0.649397,-0.010671,0.001343,0.056177
11,778087521,0.760622,0.003149,-0.001168,-0.649186,-0.003991,-0.003533,0.077518
12,778104188,0.761107,0.003163,-0.001157,-0.648618,-0.000285,0.013514,0.085243
13,778120855,0.761003,0.003164,-0.001155,-0.648741,-0.013302,0.000543,0.059028
14,778137522,0.760785,0.003150,-0.001146,-0.648996,0.008440,-0.001314,0.074861
15,778154189,0.760854,0.003157,-0.001139,-0.648915,0.003323,-0.001001,0.071714
16,778170856,0.761062,0.003160,-0.001131,-0.648671,0.014439,0.000356,0.075312
17,778187523,0.761178,0.003170,-0.001136,-0.648535,-0.007552,0.001467,0.083558
18,778204190,0.760961,0.003173,-0.001128,-0.648790,0.009582,0.009304,0.062059
19,778220857,0.761891,0.003186,-0.001116,-0.647697,0.013520,0.001001,0.061858
20,778237524,0.761823,0.003192,-0.001126,-0.647777,-0.001004,0.007416,0.088182
21,778254191,0.761753,0.003197,-0.001132,-0.647859,0.000051,0.001777,0.083653
22,778270858,0.761601,0.003194,-0.001135,-0.648037,-0.002564,0.010672,0.073758
23,778287525,0.761710,0.003201,-0.001135,-0.647910,0.000350,0.004096,0.070125
24,778304192,0.761169,0.003206,-0.001150,-0.648545,-0.010029,0.004201,0.073388
25,778320859,0.761135,0.003214,-0.001146,-0.648585,-0.008394,-0.008370,0.082528
26,778337526,0.761311,0.003222,-0.001138,-0.648379,-0.004099,0.001551,0.074210
27,778354193,0.761448,0.003226,-0.001130,-0.648218,-0.005058,-0.000188,0.081407
28,778370860,0.761054,0.003228,-0.001127,-0.648680,-0.006012,0.019674,0.072320
29,778387527,0.761132,0.003233,-0.001118,-0.648589,0.002103,0.006106,0.064071
30,778404194,0.761130,0.003243,-0.001102,-0.648591,0.001424,-0.005247,0.073763
31,778420861,0.761125,0.003242,-0.001086,-0.648597,-0.000941,0.011485,0.071286
32,778437528,0.761178,0.003246,-0.001081,-0.648535,-0.007333,0.015909,0.081422
33,778454195,0.761375,0.003262,-0.001077,-0.648303,0.003539,-0.009002,0.060377
34,778470862,0.761406,0.003265,-0.001065,-0.648267,0.004222,-0.009343,0.074183
35,778487529,0.761200,0.003271,-0.001066,-0.648509,-0.003843,-0.000825,0.064021
36,778504196,0.761145,0.003270,-0.001072,-0.648573,-0.011785,-0.004969,0.078589
37,778520863,0.761234,0.003265,-0.001065,-0.648468,0.002720,-0.012166,0.053212
38,778537530,0.761249,0.003280,-0.001073,-0.648452,-0.011160,-0.003518,0.060735
39,778554197,0.761175,0.003281,-0.001081,-0.648538,0.005827,0.007405,0.083131
40,778570864,0.761286,0.003292,-0.001090,-0.648408,-0.004648,0.000975,0.081052
41,778587531,0.761172,0.003288,-0.001089,-0.648542,0.000629,0.009129,0.065969
42,778604198,0.760944,0.003292,-0.001080,-0.648808,-0.005502,0.007548,0.092061
43,778620865,0.761100,0.003292,-0.001072,-0.648626,0.000676,-0.002068,0.077952
44,778637532,0.761544,0.003298,-0.001066,-0.648105,-0.010598,-0.000749,0.069766
45,778654199,0.761653,0.003294,-0.001066,-0.647977,-0.009988,-0.013910,0.063662
46,778670866,0.761718,0.003304,-0.001063,-0.647900,0.002161,0.011151,0.070006
47,778687533,0.761706,0.003309,-0.001070,-0.647914,0.005289,0.002148,0.070282
48,778704200,0.761745,0.003312,-0.001069,-0.647868,-0.013873,0.014704,0.066599
49,778720867,0.761742,0.003315,-0.001073,-0.647871,-0.007737,-0.000572,0.063173
50,778737534,0.761747,0.003312,-0.001064,-0.647866,-0.005415,-0.004308,0.075728
51,778754201,0.761802,0.003308,-0.001061,-0.647801,-0.011946,0.008489,0.061763
52,778770868,0.761942,0.003306,-0.001061,-0.647637,-0.008350,0.000511,0.066978
53,778787535,0.761924,0.003303,-0.001064,-0.647658,-0.011345,-0.001848,0.073724
54,778804202,0.761916,0.003311,-0.001057,-0.647667,-0.002574,0.010610,0.064037
55,778820869,0.761855,0.003317,-0.001052,-0.647739,-0.004420,-0.001452,0.073070
56,778837536,0.761495,0.003312,-0.001046,-0.648162,-0.006671,-0.003185,0.065468
57,778854203,0.761530,0.003194,-0.000892,-0.648122,0.023544,0.006870,0.041995
