sep=,
DeviceTag:,ST-1
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-29_15:27:16_328 GMT+2
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,687920752,0.025167,0.001395,-0.001269,-0.999682,0.020076,0.006049,0.075534
2,687937419,0.024767,0.001588,-0.001195,-0.999691,0.003875,0.009055,0.064178
3,687954086,0.025054,0.001701,-0.001105,-0.999684,0.000403,-0.011258,0.072347
4,687970753,0.025087,0.001735,-0.001111,-0.999683,0.002875,-0.016005,0.057582
5,687987420,0.025216,0.001765,-0.001175,-0.999680,0.001454,-0.003757,0.076349
6,688004087,0.025317,0.001778,-0.001207,-0.999677,-0.003429,-0.018693,0.081154
7,688020754,0.025237,0.001770,-0.001259,-0.999679,-0.005109,-0.006514,0.084557
8,688037421,0.025093,0.001764,-0.001296,-0.999683,0.002316,-0.012408,0.081839
9,688054088,0.025069,0.001759,-0.001329,-0.999683,-0.009022,0.003580,0.083598
10,688070755,0.024948,0.001742,-0.001353,-0.999686,0.006402,0.002518,0.087179
11,688087422,0.024855,0.001737,-0.001372,-0.999689,0.011105,0.010301,0.060869
12,688104089,0.024898,0.001740,-0.001364,-0.999688,0.008683,0.003353,0.074327
13,688120756,0.025009,0.001738,-0.001366,-0.999685,-0.002308,-0.011413,0.070428
14,688137423,0.025222,0.001740,-0.001369,-0.999679,-0.001625,-0.000242,0.071576
15,688154090,0.025101,0.001729,-0.001370,-0.999682,-0.002716,0.001043,0.049684
16,688170757,0.025035,0.001723,-0.001374,-0.999684,-0.000430,-0.004186,0.080025
17,688187424,0.025051,0.001721,-0.001382,-0.999684,0.007788,0.003830,0.059247
18,688204091,0.025075,0.001714,-0.001366,-0.999683,0.004635,0.011791,0.079123
19,688220758,0.025023,0.001717,-0.001359,-0.999685,-0.000422,-0.003287,0.078978
20,688237425,0.025052,0.001720,-0.001353,-0.999684,0.003198,0.008609,0.056942
21,688254092,0.025153,0.001722,-0.001358,-0.999681,0.002847,-0.000709,0.070742
22,688270759,0.025039,0.001712,-0.001357,-0.999684,0.000098,-0.013508,0.084574
23,688287426,0.025017,0.001714,-0.001355,-0.999685,0.003149,-0.004823,0.075261
24,688304093,0.025022,0.001714,-0.001354,-0.999685,-0.001065,0.015381,0.069277
25,688320760,0.025075,0.001711,-0.001347,-0.999683,0.009683,-0.004157,0.074593
26,688337427,0.025078,0.001701,-0.001362,-0.999683,0.005992,-0.029609,0.078555
27,688354094,0.024995,0.001695,-0.001360,-0.999685,0.008371,0.002584,0.067393
28,688370761,0.024992,0.001693,-0.001357,-0.999685,-0.000804,0.002032,0.072986
29,688387428,0.025039,0.001687,-0.001358,-0.999684,-0.002831,0.009872,0.069914
30,688404095,0.025047,0.001681,-0.001344,-0.999684,0.010655,-0.006269,0.071657
31,688420762,0.024963,0.001684,-0.001341,-0.999686,-0.004616,0.002915,0.084060
32,688437429,0.024951,0.001674,-0.001337,-0.999686,0.018094,-0.013555,0.073141
33,688454096,0.024887,0.001669,-0.001337,-0.999688,0.005119,0.002369,0.068275
34,688470763,0.024858,0.001667,-0.001329,-0.999689,0.005833,0.005455,0.079632
35,688487430,0.024869,0.001669,-0.001326,-0.999689,-0.006252,-0.011528,0.079997
36,688504097,0.024778,0.001671,-0.001329,-0.999691,0.006483,-0.011897,0.069319
37,688520764,0.024771,0.001667,-0.001320,-0.999691,0.005280,-0.002355,0.079123
38,688537431,0.024676,0.001669,-0.001329,-0.999693,0.004677,0.005856,0.066710
39,688554098,0.024658,0.001666,-0.001326,-0.999694,0.000183,-0.005750,0.078836
40,688570765,0.024646,0.001666,-0.001320,-0.999694,0.003715,-0.017274,0.083349
41,688587432,0.024586,0.001657,-0.001312,-0.999695,0.009503,-0.010951,0.068930
42,688604099,0.024551,0.001657,-0.001316,-0.999696,0.004518,-0.003166,0.068891
