sep=,
DeviceTag:,ST-1
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-30_20:44:43_433 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2992145234,0.381426,-0.624268,-0.195851,-0.653028,-1.161632,0.132597,-1.012285
2,2992161901,0.380089,-0.635029,-0.188292,-0.645612,-1.310412,0.217892,-0.639061
3,2992178568,0.379886,-0.646716,-0.181035,-0.636137,-0.745087,0.163233,0.354290
4,2992195235,0.378108,-0.655115,-0.175140,-0.630225,-0.216488,-0.049865,1.271302
5,2992211902,0.375713,-0.660192,-0.171694,-0.627300,-0.182482,0.085410,1.496741
6,2992228569,0.374230,-0.663209,-0.169608,-0.625569,0.091786,-0.146330,1.505939
7,2992245236,0.372293,-0.664557,-0.168045,-0.625717,0.384676,-1.049638,1.176888
8,2992261903,0.368609,-0.665643,-0.167771,-0.626816,0.474830,-1.067548,0.416975
9,2992278570,0.363865,-0.666663,-0.168295,-0.628362,0.863264,-1.197066,0.395643
10,2992295237,0.357997,-0.667004,-0.168893,-0.631204,0.523042,-1.091399,-0.028534
11,2992311904,0.351538,-0.667441,-0.169550,-0.634188,0.007165,-0.545265,-0.261452
12,2992328571,0.345801,-0.667601,-0.170534,-0.636904,-0.467519,-0.322750,-0.312578
13,2992345238,0.340942,-0.667990,-0.171867,-0.638755,-0.812780,-0.110121,-0.502380
14,2992361905,0.337092,-0.668691,-0.173501,-0.639624,-0.815721,0.260864,-0.485530
15,2992378572,0.334223,-0.669060,-0.175177,-0.640286,-0.828821,0.595389,-0.411835
16,2992395239,0.332595,-0.668917,-0.177391,-0.640673,-0.833160,1.300852,-0.706181
17,2992411906,0.332199,-0.668459,-0.180316,-0.640540,-0.926049,1.719818,-1.086343
18,2992428573,0.332813,-0.668089,-0.184174,-0.639508,-0.898088,2.265480,-1.727454
19,2992445240,0.335025,-0.667443,-0.189259,-0.637541,-1.205422,2.518611,-2.613890
20,2992461907,0.338297,-0.667633,-0.195340,-0.633770,-1.531101,1.681969,-3.627604
21,2992478574,0.341668,-0.669352,-0.203138,-0.627666,-1.361972,1.360303,-3.783443
22,2992495241,0.345057,-0.672423,-0.213064,-0.619181,-1.195310,0.944659,-3.413919
23,2992511908,0.348301,-0.677445,-0.226535,-0.606989,0.329162,-0.224084,-0.483076
24,2992528575,0.351932,-0.683629,-0.242154,-0.591740,2.384127,-3.557581,4.381473
25,2992545242,0.352662,-0.685872,-0.255662,-0.582963,2.535364,-2.321036,4.720237
26,2992561909,0.357400,-0.684302,-0.269807,-0.575499,1.838234,-2.275582,2.046388
27,2992578576,0.360377,-0.683248,-0.283035,-0.568499,2.545221,-3.043219,3.214140
28,2992595243,0.364276,-0.680158,-0.294089,-0.564091,2.807668,-1.213332,3.335196
29,2992611910,0.369479,-0.675848,-0.302957,-0.561187,1.583829,-0.602597,3.111224
30,2992628577,0.377090,-0.671060,-0.310934,-0.557495,1.628147,-1.297661,2.799098
31,2992645244,0.385995,-0.665004,-0.318805,-0.554201,2.328090,-1.941446,1.455421
32,2992661911,0.395362,-0.658074,-0.327417,-0.550840,2.371223,-2.031136,-0.717335
33,2992678578,0.404104,-0.651831,-0.336835,-0.546221,3.095151,-2.561163,-1.371789
34,2992695245,0.412275,-0.645537,-0.346683,-0.541407,3.693032,-2.492601,-1.095069
35,2992711912,0.419567,-0.639531,-0.356218,-0.536723,3.691335,-2.301351,-0.863895
36,2992728579,0.426183,-0.634057,-0.364602,-0.532357,3.710157,-2.281271,-0.267087
37,2992745246,0.432805,-0.628166,-0.371204,-0.529428,3.505135,-2.214672,-0.479942
38,2992761913,0.439188,-0.622887,-0.376562,-0.526618,3.612411,-2.736756,-0.741518
39,2992778580,0.444364,-0.618528,-0.380901,-0.524288,3.717765,-2.419618,-0.737886
40,2992795247,0.448975,-0.614330,-0.385105,-0.522220,3.396403,-2.435089,-0.253263
41,2992811914,0.452947,-0.610190,-0.389295,-0.520534,3.331533,-2.463555,-0.462052
42,2992828581,0.456223,-0.606749,-0.393598,-0.518456,3.535150,-2.307182,-0.953736
43,2992845248,0.459071,-0.603619,-0.397802,-0.516382,3.082577,-2.227596,-0.697307
44,2992861915,0.461986,-0.600894,-0.401388,-0.514180,3.180497,-2.433789,-0.662218
45,2992878582,0.464478,-0.598879,-0.404127,-0.512138,3.508586,-2.225425,-0.723846
46,2992895249,0.466991,-0.597053,-0.405918,-0.510565,3.669826,-2.370281,-0.654185
47,2992911916,0.468861,-0.595811,-0.406933,-0.509493,3.834131,-2.752026,-0.787466
48,2992928583,0.469909,-0.595465,-0.407219,-0.508702,4.015912,-2.468827,-1.091890
49,2992945250,0.470153,-0.596067,-0.407485,-0.507558,4.173982,-2.062792,-0.910203
50,2992961917,0.469640,-0.596766,-0.406932,-0.507656,4.075249,-1.859476,-0.945532
51,2992978584,0.468620,-0.597759,-0.405534,-0.508547,3.706762,-1.680988,-1.289051
52,2992995251,0.466960,-0.599512,-0.403138,-0.509914,3.563660,-1.875669,-1.550858
53,2993011918,0.464556,-0.602209,-0.399915,-0.511467,3.362467,-2.163240,-1.935250
54,2993028585,0.461102,-0.606078,-0.396134,-0.512963,3.368375,-2.379240,-2.006412
55,2993045252,0.456827,-0.610820,-0.392268,-0.514133,3.279477,-2.236575,-1.859980
56,2993061919,0.451941,-0.616418,-0.389216,-0.514089,3.228418,-2.144594,-1.374846
57,2993078586,0.446044,-0.622277,-0.385899,-0.514681,2.755720,-1.906667,-0.946363
58,2993095253,0.439985,-0.628535,-0.383443,-0.514126,2.150566,-1.287947,-0.552912
59,2993111920,0.434830,-0.634676,-0.382573,-0.511612,2.224969,-0.735482,0.452124
60,2993128587,0.430135,-0.639658,-0.381688,-0.510034,1.973734,-0.825930,1.220104
61,2993145254,0.424979,-0.644605,-0.379332,-0.509886,1.483432,-0.003840,1.400036
62,2993161921,0.420355,-0.648933,-0.377423,-0.509645,0.419985,0.904571,3.165957
63,2993178588,0.417955,-0.651107,-0.375207,-0.510481,-0.715084,1.955603,3.391659
64,2993195255,0.417770,-0.652040,-0.373245,-0.510882,-1.070855,2.821182,3.565291
65,2993211922,0.420997,-0.650349,-0.371123,-0.511931,-0.954656,2.753994,2.111312
66,2993228589,0.424857,-0.649406,-0.369019,-0.511461,0.422405,1.797522,0.256901
67,2993245256,0.427873,-0.649282,-0.365369,-0.511724,1.547571,1.086181,-0.780051
68,2993261923,0.429878,-0.649844,-0.361396,-0.512152,2.204995,1.273210,-1.719526
