sep=,
DeviceTag:,ST-1
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-30_20:50:23_938 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3332645594,0.302031,-0.741753,-0.206932,-0.561924,0.115282,-0.006780,0.082479
2,3332662261,0.302033,-0.740698,-0.207897,-0.562957,0.044588,0.049433,0.014589
3,3332678928,0.302096,-0.740013,-0.208103,-0.563748,0.071001,0.028478,0.041595
4,3332695595,0.302163,-0.739550,-0.208339,-0.564232,0.190942,0.021924,0.026838
5,3332712262,0.302080,-0.738820,-0.208654,-0.565115,0.198688,-0.047603,0.097281
6,3332728929,0.301619,-0.738241,-0.209043,-0.565974,0.070398,0.043854,0.034194
7,3332745596,0.301141,-0.737985,-0.209099,-0.566542,0.073297,0.097833,0.041724
8,3332762263,0.300891,-0.737747,-0.208972,-0.567031,0.083302,0.060092,0.028928
9,3332778930,0.300762,-0.737503,-0.208946,-0.567426,0.021415,-0.032843,0.021756
10,3332795597,0.300398,-0.737560,-0.208948,-0.567544,-0.056961,-0.079159,0.045588
11,3332812264,0.299939,-0.737760,-0.209000,-0.567508,-0.024003,0.042514,0.144776
12,3332828931,0.299627,-0.737799,-0.208894,-0.567661,-0.047088,0.055914,0.114634
13,3332845598,0.299450,-0.737756,-0.208712,-0.567877,-0.101466,-0.047460,0.133801
14,3332862265,0.299286,-0.737573,-0.208447,-0.568299,-0.173242,-0.090639,0.163690
15,3332878932,0.299083,-0.737419,-0.208167,-0.568707,-0.215363,-0.127723,0.127253
16,3332895599,0.298690,-0.737501,-0.207845,-0.568927,-0.200840,-0.103233,0.125141
17,3332912266,0.298288,-0.737691,-0.207450,-0.569034,-0.105895,-0.063919,0.175555
18,3332928933,0.297981,-0.737556,-0.206959,-0.569549,-0.099688,-0.099632,0.150335
19,3332945600,0.297659,-0.737304,-0.206505,-0.570209,-0.145316,-0.077227,0.109101
20,3332962267,0.297178,-0.737227,-0.206032,-0.570730,-0.144144,-0.073968,0.125646
21,3332978934,0.296584,-0.737292,-0.205506,-0.571144,-0.049007,0.006916,0.172612
22,3332995601,0.296009,-0.737209,-0.204864,-0.571779,0.055743,-0.002449,0.237645
23,3333012268,0.295448,-0.736796,-0.204129,-0.572864,0.084093,0.017067,0.234729
24,3333028935,0.294955,-0.736027,-0.203324,-0.574391,0.022033,-0.014968,0.168713
25,3333045602,0.294467,-0.735231,-0.202530,-0.575939,-0.026788,-0.011837,0.097035
26,3333062269,0.293880,-0.734633,-0.201761,-0.577270,-0.019278,-0.053719,0.165447
27,3333078936,0.293228,-0.733995,-0.200981,-0.578684,0.013044,-0.057316,0.200728
28,3333095603,0.292561,-0.733218,-0.200171,-0.580284,0.008435,-0.060640,0.129623
29,3333112270,0.291858,-0.732513,-0.199398,-0.581793,0.004380,-0.101030,0.053796
30,3333128937,0.291060,-0.731941,-0.198665,-0.583162,-0.059769,-0.125529,0.064578
31,3333145604,0.290039,-0.731621,-0.197899,-0.584332,-0.070273,-0.088941,0.041451
32,3333162271,0.289004,-0.731550,-0.197078,-0.585211,0.014532,-0.051855,0.077849
33,3333178938,0.287765,-0.731439,-0.196046,-0.586306,0.091664,-0.144762,0.079869
34,3333195605,0.286266,-0.731411,-0.194836,-0.587476,0.097045,-0.042277,0.011484
35,3333212272,0.284818,-0.731342,-0.193642,-0.588659,-0.001692,-0.039221,0.094215
36,3333228939,0.283218,-0.731555,-0.192337,-0.589593,0.077142,-0.055163,0.046180
37,3333245606,0.281539,-0.731726,-0.191013,-0.590615,0.142777,-0.029364,0.121374
38,3333262273,0.279936,-0.731479,-0.189771,-0.592082,-0.094730,0.100228,0.064309
39,3333278940,0.278171,-0.731554,-0.188393,-0.593260,-0.262020,0.109944,-0.035992
40,3333295607,0.276426,-0.732015,-0.187084,-0.593921,-0.176482,0.186103,-0.060822
41,3333312274,0.274892,-0.732428,-0.185965,-0.594475,0.030445,0.164665,0.003000
