sep=,
DeviceTag:,ST-1
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-30_21:11:49_407 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,323150175,0.098308,0.218438,0.203808,0.949254,0.154640,0.116385,-0.687101
2,323166842,0.098550,0.213112,0.204398,0.950313,0.084703,0.038474,-0.764809
3,323183509,0.098895,0.207843,0.205875,0.951125,-0.025179,0.054334,-0.585241
4,323200176,0.099165,0.202802,0.207875,0.951750,0.046806,0.084813,-0.767293
5,323216843,0.098929,0.197668,0.210321,0.952317,0.099901,0.295497,-0.862590
6,323233510,0.098480,0.192040,0.212660,0.952995,0.048256,0.209852,-0.963510
7,323250177,0.098128,0.186158,0.215024,0.953668,0.054653,0.048416,-1.044320
8,323266844,0.097928,0.179933,0.217943,0.954220,0.110663,0.139160,-0.885231
9,323283511,0.097491,0.173252,0.221354,0.954716,0.300672,0.067038,-0.942986
10,323300178,0.097048,0.166436,0.224720,0.955187,-0.070418,-0.510760,-0.868760
11,323316845,0.096541,0.159461,0.228376,0.955561,0.054231,-0.612703,-0.738605
12,323333512,0.095720,0.152633,0.232404,0.955788,0.130676,-0.661864,-0.602802
13,323350179,0.095321,0.145408,0.236341,0.955989,0.160597,-0.802081,-0.506747
14,323366846,0.094630,0.138312,0.240717,0.956019,0.611735,-0.559360,-0.486866
15,323383513,0.093655,0.131201,0.245541,0.955890,0.779952,-0.527197,-0.420390
16,323400180,0.092588,0.124328,0.250415,0.955648,0.858645,-0.509480,-0.210030
17,323416847,0.091436,0.117361,0.255220,0.955369,0.724169,-0.555372,-0.039388
18,323433514,0.090402,0.110471,0.260130,0.954965,0.694357,-0.679488,0.195639
19,323450181,0.089185,0.103766,0.265251,0.954422,0.791343,-0.804366,0.478204
20,323466848,0.088017,0.097257,0.270222,0.953821,0.711193,-0.896751,0.389788
21,323483515,0.086809,0.090939,0.274793,0.953249,0.839509,-0.974965,0.393418
22,323500182,0.085325,0.085177,0.279416,0.952571,0.865210,-0.758465,0.705420
23,323516849,0.083730,0.079333,0.283913,0.951887,0.833871,-1.217129,0.801178
24,323533516,0.082241,0.073620,0.287949,0.951264,0.704616,-1.479655,0.957297
25,323550183,0.080719,0.067752,0.291766,0.950667,0.952859,-1.704652,0.979330
26,323566850,0.079328,0.062095,0.295164,0.950121,0.949924,-1.780876,0.994512
27,323583517,0.078054,0.056336,0.298314,0.949602,0.937094,-1.403719,0.719194
28,323600184,0.076769,0.050917,0.301437,0.949026,1.099886,-1.082147,0.845422
29,323616851,0.075498,0.045415,0.304497,0.948431,0.915481,-1.090848,0.963606
30,323633518,0.074240,0.039995,0.307263,0.947882,0.920405,-1.115819,0.973868
31,323650185,0.072995,0.034485,0.309684,0.947407,0.709561,-1.031600,0.679224
32,323666852,0.071496,0.029178,0.311820,0.946998,0.906700,-0.826696,0.471931
33,323683519,0.069684,0.024155,0.313918,0.946582,0.917159,-0.970445,0.712261
34,323700186,0.068133,0.019499,0.315732,0.946199,0.893726,-1.211678,0.840033
35,323716853,0.066823,0.015304,0.317254,0.945860,0.821012,-1.179662,0.983135
36,323733520,0.065663,0.011360,0.318368,0.945623,0.713070,-1.305891,0.912206
37,323750187,0.064420,0.007781,0.319108,0.945495,0.570396,-1.295160,0.636331
38,323766854,0.063085,0.004546,0.319340,0.945528,0.478150,-1.010377,0.308917
39,323783521,0.061697,0.001712,0.319281,0.945649,0.563011,-0.681829,0.195359
40,323800188,0.060299,-0.000746,0.319264,0.945746,0.585283,-0.510342,0.241857
41,323816855,0.058849,-0.002984,0.319409,0.945784,0.412386,-0.439709,0.224754
42,323833522,0.057254,-0.005186,0.319455,0.945857,0.317527,-0.297560,0.162498
43,323850189,0.055358,-0.007693,0.319230,0.946028,0.237471,-0.023107,0.172781
44,323866856,0.053289,-0.010100,0.318781,0.946276,0.498497,-0.186212,0.287801
45,323883523,0.051261,-0.012316,0.318303,0.946523,0.390876,-0.283454,0.480731
46,323900190,0.049370,-0.014384,0.317823,0.946755,0.235633,-0.245468,0.614437
47,323916857,0.047326,-0.016375,0.317338,0.946990,0.187658,-0.308284,0.685865
48,323933524,0.045234,-0.018471,0.316719,0.947261,0.163187,-0.375690,0.672622
49,323950191,0.043210,-0.020728,0.315900,0.947582,0.165685,-0.233498,0.582289
50,323966858,0.041412,-0.023070,0.315081,0.947881,0.136723,-0.193468,0.621763
51,323983525,0.039726,-0.025326,0.314259,0.948168,0.226020,-0.287224,0.700604
52,324000192,0.038066,-0.027505,0.313365,0.948471,0.321164,-0.334302,0.695191
53,324016859,0.036414,-0.029502,0.312415,0.948790,0.314089,-0.247343,0.396801
54,324033526,0.034737,-0.031306,0.311473,0.949105,0.396362,-0.154580,0.186305
55,324050193,0.032981,-0.032878,0.310576,0.949408,0.486078,-0.275606,0.335103
56,324066860,0.031196,-0.034258,0.309611,0.949734,0.504542,-0.371190,0.519632
57,324083527,0.029411,-0.035573,0.308612,0.950068,0.379544,-0.425985,0.538292
58,324100194,0.027576,-0.036821,0.307593,0.950406,0.301858,-0.340877,0.369048
59,324116861,0.025528,-0.038022,0.306590,0.950740,0.355771,-0.227276,0.161518
60,324133528,0.023344,-0.038969,0.305629,0.951067,0.568402,-0.209412,0.147098
61,324150195,0.021183,-0.039511,0.304849,0.951346,0.733552,-0.103848,0.324550
62,324166862,0.019087,-0.039833,0.304272,0.951561,0.657410,-0.226025,0.534060
63,324183529,0.017092,-0.039924,0.303915,0.951709,0.545663,-0.400394,0.759274
64,324200196,0.015103,-0.039768,0.303558,0.951864,0.505267,-0.561255,0.822797
65,324216863,0.013062,-0.039408,0.303102,0.952054,0.507569,-0.515686,0.890363
66,324233530,0.010958,-0.038756,0.302491,0.952302,0.537176,-0.517515,0.997384
67,324250197,0.008869,-0.037974,0.301633,0.952627,0.623940,-0.632490,1.016597
68,324266864,0.006827,-0.036861,0.300533,0.953035,0.734045,-0.727124,1.224175
69,324283531,0.004730,-0.035482,0.299035,0.953571,0.607571,-0.991848,1.440718
