sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-03_21:06:32_482 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2090783535,0.742565,-0.522601,0.149231,-0.391429,0.045986,0.156291,0.109414
2,2090800202,0.742775,-0.523131,0.148938,-0.390433,0.009850,-0.019744,-0.258581
3,2090816869,0.741723,-0.525311,0.148579,-0.389643,0.095853,0.135660,-0.022511
4,2090833536,0.741458,-0.526623,0.147712,-0.388705,0.071389,0.326457,0.151283
5,2090850203,0.741871,-0.526877,0.147570,-0.387626,0.065117,0.232367,0.250617
6,2090866870,0.742347,-0.527025,0.147753,-0.386440,-0.164576,0.200529,0.037515
7,2090883537,0.742725,-0.527570,0.148194,-0.384799,0.019088,0.013009,-0.080843
8,2090900204,0.742740,-0.528962,0.148613,-0.382691,-0.176444,-0.259781,0.176911
9,2090916871,0.743059,-0.530244,0.148541,-0.380319,0.158279,-0.168907,0.500590
10,2090933538,0.744306,-0.529877,0.148116,-0.378553,0.161209,-0.424252,0.312488
11,2090950205,0.745250,-0.530151,0.147051,-0.376723,-0.025209,-0.372540,-0.125874
12,2090966872,0.745680,-0.531193,0.146082,-0.374776,0.016899,-0.394808,0.006205
13,2090983539,0.746310,-0.531251,0.145672,-0.373598,0.230596,-0.422261,0.193045
14,2091000206,0.746671,-0.531609,0.145420,-0.372463,-0.047575,-0.612837,-0.299060
15,2091016873,0.746689,-0.532600,0.145346,-0.371038,0.255708,-0.757471,-0.190444
16,2091033540,0.746348,-0.534000,0.145179,-0.369776,0.388583,-0.827488,0.003551
17,2091050207,0.745956,-0.535368,0.144749,-0.368755,0.508074,-0.589227,-0.214853
18,2091066874,0.745536,-0.536775,0.144407,-0.367691,0.285603,-0.788982,-0.100849
19,2091083541,0.745049,-0.538099,0.144230,-0.366813,0.353480,-0.607232,-0.053400
20,2091100208,0.743815,-0.540089,0.144625,-0.366235,0.030915,-0.587213,0.057195
21,2091116875,0.742468,-0.541574,0.146035,-0.366216,0.166662,-0.500340,0.475971
22,2091133542,0.741195,-0.542941,0.146903,-0.366423,0.022600,-0.838699,0.057955
23,2091150209,0.739142,-0.544876,0.147705,-0.367373,-0.092784,-0.863334,0.129043
24,2091166876,0.737772,-0.546379,0.147925,-0.367806,-0.040717,-0.636342,0.118320
25,2091183543,0.736129,-0.547565,0.148702,-0.369021,0.170591,-0.340786,0.192226
26,2091200210,0.734839,-0.548095,0.149523,-0.370470,-0.025160,-0.137481,0.027346
27,2091216877,0.733564,-0.548624,0.150393,-0.371858,-0.118133,0.077074,-0.161274
28,2091233544,0.732686,-0.548776,0.151382,-0.372963,-0.259364,-0.032629,-0.117190
29,2091250211,0.731777,-0.548945,0.152687,-0.373966,-0.018428,0.079130,0.011884
30,2091266878,0.731251,-0.548786,0.153794,-0.374774,-0.091306,-0.058472,0.089850
31,2091283545,0.730008,-0.549852,0.154599,-0.375303,-0.172328,-0.043819,-0.064810
32,2091300212,0.729195,-0.550793,0.154875,-0.375390,-0.066015,0.100420,0.016720
33,2091316879,0.728480,-0.551848,0.154828,-0.375249,-0.045296,0.242497,0.010834
34,2091333546,0.727693,-0.553208,0.154597,-0.374868,-0.052713,0.221513,0.013091
35,2091350213,0.727058,-0.554585,0.154007,-0.374308,0.020576,0.249834,0.168458
36,2091366880,0.726929,-0.555310,0.153311,-0.373770,-0.053224,-0.025641,0.196438
37,2091383547,0.726733,-0.556224,0.152500,-0.373120,0.039233,0.059780,-0.091205
38,2091400214,0.726761,-0.556964,0.151604,-0.372328,0.178970,0.077801,0.005444
39,2091416881,0.726822,-0.557214,0.151163,-0.372014,0.169465,0.059665,0.148778
40,2091433548,0.727127,-0.557068,0.150782,-0.371790,0.044740,0.106497,0.129861
41,2091450215,0.727644,-0.556612,0.150442,-0.371598,0.111297,0.040051,-0.003536
42,2091466882,0.728067,-0.556299,0.150087,-0.371384,0.234886,-0.024745,-0.106647
43,2091483549,0.728060,-0.556549,0.149482,-0.371266,0.281795,-0.126785,-0.276895
44,2091500216,0.727311,-0.557696,0.148738,-0.371313,0.267946,-0.046661,-0.137060
45,2091516883,0.726527,-0.558573,0.147961,-0.371839,0.079933,-0.206730,0.155461
46,2091533550,0.725907,-0.558832,0.147045,-0.373021,0.493045,-0.566494,-0.088394
47,2091550217,0.725932,-0.558021,0.146604,-0.374359,-0.997226,0.483063,0.703197
48,2091566884,0.726830,-0.556502,0.146426,-0.374947,0.306466,-0.652083,0.025210
49,2091583551,0.727442,-0.555910,0.145846,-0.374864,-0.209383,-0.129286,-0.067309
50,2091600218,0.728414,-0.554215,0.145552,-0.375599,-0.359837,0.338139,0.982883
51,2091616885,0.727543,-0.555136,0.145681,-0.375877,0.118693,-0.053102,-1.301955
52,2091633552,0.727575,-0.554674,0.145522,-0.376559,0.096999,0.152818,0.923177
53,2091650219,0.728318,-0.552922,0.145687,-0.377633,-0.178371,-0.448760,0.084761
54,2091666886,0.731056,-0.548901,0.144677,-0.378597,0.209212,-0.123802,0.811091
55,2091683553,0.734089,-0.543891,0.143948,-0.380232,-0.259585,-0.127008,-0.216125
56,2091700220,0.735623,-0.540872,0.143291,-0.381819,-0.136795,0.018923,0.005844
57,2091716887,0.736045,-0.539246,0.142587,-0.383565,0.060423,-0.095384,-0.264405
58,2091733554,0.735258,-0.539884,0.140804,-0.384835,-0.238059,-0.437476,0.862356
59,2091750221,0.734913,-0.540220,0.136654,-0.386514,-0.242623,0.164777,-0.589098
60,2091766888,0.734254,-0.540378,0.135168,-0.388064,-0.168020,0.386240,-0.570880
61,2091783555,0.734701,-0.538674,0.133944,-0.390006,0.453849,-0.566355,1.373463
62,2091800222,0.735960,-0.534743,0.135028,-0.392661,-0.224177,-0.559475,-0.202369
63,2091816889,0.736258,-0.530815,0.137558,-0.396534,0.137266,-0.093863,-0.376295
64,2091833556,0.734690,-0.529444,0.140544,-0.400212,-0.119496,-0.235261,-0.700077
65,2091850223,0.732046,-0.530402,0.142504,-0.403083,0.136590,0.265500,0.045433
66,2091866890,0.730569,-0.529338,0.144822,-0.406324,0.081483,0.321854,-0.089124
67,2091883557,0.728764,-0.529148,0.146609,-0.409161,-0.088046,-0.105692,-0.305363
68,2091900224,0.725267,-0.532727,0.147777,-0.410309,-0.568075,0.003904,-0.227976
69,2091916891,0.723441,-0.533672,0.148467,-0.412051,0.842571,0.734035,0.480095
70,2091933558,0.720637,-0.536230,0.149007,-0.413447,-0.145594,-0.303567,-0.817070
71,2091950225,0.716604,-0.540831,0.149211,-0.414389,0.563008,0.092718,-0.583567
72,2091966892,0.713957,-0.544498,0.148854,-0.414284,-0.247211,0.933545,0.804326
73,2091983559,0.713071,-0.544637,0.149404,-0.415428,0.037814,0.454280,0.799588
74,2092000226,0.712631,-0.544489,0.149761,-0.416246,-0.015699,0.447951,0.355661
75,2092016893,0.710826,-0.546080,0.150579,-0.416955,-0.293654,0.327400,-0.075391
76,2092033560,0.710399,-0.546120,0.151231,-0.417392,0.375522,0.394865,0.207374
77,2092050227,0.710238,-0.545867,0.151821,-0.417784,0.127320,0.129070,-0.252267
78,2092066894,0.710331,-0.545597,0.152295,-0.417806,0.039885,0.204699,0.181893
79,2092083561,0.710814,-0.544656,0.153031,-0.417943,0.039962,0.077056,0.367490
80,2092100228,0.711154,-0.544096,0.153626,-0.417875,0.112112,-0.148437,0.011244
81,2092116895,0.711198,-0.544781,0.153251,-0.417047,0.183795,-0.585127,-0.663215
82,2092133562,0.711006,-0.546160,0.153804,-0.415363,-0.590961,0.508895,0.824094
83,2092150229,0.712537,-0.544363,0.154494,-0.414841,-0.163905,-0.094249,0.333655
84,2092166896,0.714331,-0.543184,0.152992,-0.413856,-0.349857,0.226984,0.096085
85,2092183563,0.717135,-0.540157,0.151606,-0.413479,-0.050051,0.178207,0.659563
86,2092200230,0.718872,-0.538058,0.151429,-0.413264,0.249440,-0.897976,-1.270969
87,2092216897,0.721064,-0.536047,0.150793,-0.412291,-0.155793,0.639125,0.233085
88,2092233564,0.724105,-0.533710,0.149005,-0.410639,-0.674093,-0.112028,0.392897
89,2092250231,0.726507,-0.531783,0.147983,-0.409265,-0.177161,0.160732,0.495721
90,2092266898,0.728129,-0.530572,0.147180,-0.408241,-0.430477,0.382084,-0.107678
91,2092283565,0.729089,-0.530379,0.145856,-0.407254,0.313456,-0.084173,-0.441634
92,2092300232,0.729273,-0.531879,0.143570,-0.405777,0.036793,0.019412,-0.657880
93,2092316899,0.729364,-0.533078,0.141835,-0.404649,0.301086,0.206005,-0.184984
94,2092333566,0.728609,-0.535695,0.139846,-0.403242,-0.049046,0.255528,-0.400477
95,2092350233,0.727217,-0.539004,0.137740,-0.402070,0.373096,0.476379,-0.409082
96,2092366900,0.726016,-0.542228,0.135294,-0.400733,0.240527,0.134983,0.415200
97,2092383567,0.725198,-0.543812,0.134392,-0.400371,0.029546,-0.075603,0.381359
98,2092400234,0.724037,-0.545450,0.134225,-0.400301,0.114308,-0.097407,0.550230
99,2092416901,0.722588,-0.547050,0.134336,-0.400697,-0.027126,-0.067165,-0.104009
100,2092433568,0.721269,-0.549093,0.133705,-0.400491,-0.191634,0.266918,0.108110
101,2092450235,0.720207,-0.550893,0.132922,-0.400191,-0.307031,0.308969,0.070518
102,2092466902,0.719749,-0.551913,0.132297,-0.399816,-0.122409,0.341444,0.583893
103,2092483569,0.720223,-0.551661,0.131700,-0.399508,-0.197848,0.066981,0.078959
104,2092500236,0.721059,-0.551269,0.130608,-0.398897,0.154887,0.054320,-0.024448
105,2092516903,0.721612,-0.550983,0.130121,-0.398452,0.071602,-0.148054,0.020739
106,2092533570,0.722475,-0.550140,0.129589,-0.398225,0.048286,-0.209680,0.199781
107,2092550237,0.723446,-0.549135,0.128925,-0.398066,-0.058025,-0.202264,-0.264559
108,2092566904,0.723835,-0.549162,0.127661,-0.397730,-0.089606,0.007069,-0.231817
109,2092583571,0.723417,-0.549984,0.126841,-0.397618,0.072344,0.097037,-0.032495
110,2092600238,0.722597,-0.551222,0.126052,-0.397644,-0.105294,0.004382,-0.009031
111,2092616905,0.721848,-0.552032,0.125994,-0.397899,0.001948,-0.048824,0.148558
112,2092633572,0.721455,-0.552121,0.126634,-0.398284,0.084051,-0.367477,-0.319539
113,2092650239,0.720997,-0.552457,0.128107,-0.398177,0.214053,-0.433024,-0.228088
114,2092666906,0.720954,-0.552642,0.128493,-0.397873,-0.115497,0.021663,0.221298
115,2092683573,0.720119,-0.553705,0.128812,-0.397805,-0.064754,-0.035704,0.436221
116,2092700240,0.719673,-0.554148,0.129205,-0.397868,-0.114442,0.134828,0.493165
117,2092716907,0.719602,-0.554190,0.129772,-0.397753,-0.094766,-0.052343,-0.120856
118,2092733574,0.721548,-0.551652,0.130173,-0.397624,0.909966,-0.792009,-0.091860
119,2092750241,0.722928,-0.550152,0.129914,-0.397282,-0.230445,-0.674021,-0.919668
120,2092766908,0.722660,-0.550429,0.130230,-0.397282,0.980561,-0.807718,-0.957731
121,2092783575,0.720926,-0.553218,0.130991,-0.396306,-0.924358,0.368474,0.596549
122,2092800242,0.720905,-0.550454,0.135595,-0.398638,1.901597,-1.026008,2.452106
123,2092816909,0.722014,-0.546896,0.138602,-0.400490,-0.766418,-0.936235,-0.298414
124,2092833576,0.722789,-0.543609,0.142382,-0.402237,0.148457,0.317630,0.702273
125,2092850243,0.725186,-0.537934,0.145666,-0.404370,-0.529375,0.115994,0.040465
126,2092866910,0.728303,-0.532862,0.147706,-0.404745,-1.079598,0.888294,0.045248
127,2092883577,0.732798,-0.526841,0.148692,-0.404152,-0.808156,1.232983,0.223343
128,2092900244,0.736451,-0.522627,0.148383,-0.403095,0.149104,0.115665,-1.015124
129,2092916911,0.739464,-0.518682,0.147853,-0.402869,0.396037,-0.110079,-0.127507
130,2092933578,0.741764,-0.514998,0.147464,-0.403507,0.067554,-0.056268,0.356010
131,2092950245,0.743138,-0.512402,0.146871,-0.404500,0.410682,-0.120943,0.183840
132,2092966912,0.740968,-0.513402,0.148484,-0.406620,-0.211380,-0.361364,-0.227185
133,2092983579,0.737634,-0.515726,0.149924,-0.409204,-0.366140,0.287944,0.328777
134,2093000246,0.732791,-0.518515,0.154525,-0.412653,-0.366978,0.926703,-1.079469
135,2093016913,0.728104,-0.519123,0.164883,-0.416162,-0.419690,1.267352,-0.967448
136,2093033580,0.723243,-0.516058,0.181686,-0.421421,0.034467,0.702753,-0.140044
137,2093050247,0.717897,-0.510872,0.200157,-0.428454,1.473009,1.971029,1.245084
138,2093066914,0.713727,-0.510209,0.205745,-0.433535,0.930007,1.304092,0.001855
139,2093083581,0.709207,-0.511769,0.208855,-0.437606,-1.206028,-1.968369,-2.440947
140,2093100248,0.700430,-0.519736,0.214519,-0.439609,-2.798209,-3.296664,-3.233145
141,2093116915,0.693525,-0.525213,0.220497,-0.441086,1.503647,0.740051,2.638961
142,2093133582,0.691657,-0.529291,0.217700,-0.440535,1.192443,0.871774,2.141106
143,2093150249,0.695259,-0.528386,0.212460,-0.438504,-0.694659,0.009367,2.403061
144,2093166916,0.701027,-0.524412,0.208099,-0.436176,-0.210212,0.973793,-0.003377
145,2093183583,0.701241,-0.527018,0.205817,-0.433767,-0.260227,-0.015290,-1.675184
146,2093200250,0.698184,-0.535004,0.202394,-0.430521,0.331773,1.745765,-0.543117
147,2093216917,0.690149,-0.548921,0.199710,-0.427198,-0.394809,1.589234,-3.889569
148,2093233584,0.677782,-0.568182,0.197367,-0.422883,-0.152407,0.840316,-0.942183
149,2093250251,0.668645,-0.581504,0.196988,-0.419481,0.679082,-0.161987,2.310225
150,2093266918,0.663529,-0.588158,0.197935,-0.417878,0.460253,-0.308337,2.130074
151,2093283585,0.661819,-0.592119,0.196438,-0.415697,0.194641,-0.509539,1.208061
152,2093300252,0.663698,-0.592156,0.193444,-0.414050,0.100358,0.189169,1.073442
153,2093316919,0.668041,-0.589473,0.189271,-0.412820,-0.114996,0.004552,0.848983
154,2093333586,0.671943,-0.586873,0.185714,-0.411807,0.434805,-0.012129,-0.291925
155,2093350253,0.672711,-0.586784,0.183835,-0.411523,0.326400,0.321722,-0.932873
156,2093366920,0.670891,-0.588670,0.183870,-0.411785,0.350173,0.265873,-0.963128
157,2093383587,0.667591,-0.591472,0.183911,-0.413113,0.569699,0.198795,-0.301018
158,2093400254,0.664842,-0.592476,0.185350,-0.415456,-0.291081,0.313599,0.819610
159,2093416921,0.662847,-0.592355,0.186877,-0.418124,0.006989,-0.236777,0.504230
160,2093433588,0.661409,-0.591431,0.188421,-0.421007,0.016804,0.017503,0.226463
161,2093450255,0.660566,-0.590356,0.189164,-0.423498,-0.119170,0.175814,-0.205734
162,2093466922,0.661186,-0.589201,0.189883,-0.423817,0.261429,0.313213,-4.320390
163,2093483589,0.656259,-0.591805,0.193605,-0.426156,-0.999242,-0.861434,3.751634
164,2093500256,0.656389,-0.591852,0.193462,-0.425956,0.479604,1.291828,1.492515
