sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-03_21:17:30_069 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2748385368,0.156005,-0.078855,0.473592,-0.863226,-0.290830,0.001484,0.277580
2,2748402035,0.158820,-0.086140,0.475679,-0.860865,-0.292627,0.320073,0.227956
3,2748418702,0.159552,-0.091161,0.478657,-0.858559,-0.147165,0.080988,-0.315483
4,2748435369,0.156781,-0.092720,0.481774,-0.857158,-0.092921,0.145655,-0.020406
5,2748452036,0.155861,-0.094170,0.483838,-0.856004,-0.034839,0.244385,0.346048
6,2748468703,0.157138,-0.095817,0.483979,-0.855509,0.031280,-0.173434,0.102074
7,2748485370,0.156254,-0.095703,0.484549,-0.855361,-0.146804,0.101529,-0.106571
8,2748502037,0.154898,-0.095298,0.485001,-0.855396,-0.193162,-0.185956,0.172243
9,2748518704,0.155544,-0.096179,0.484393,-0.855525,-0.263062,-0.088123,-0.032240
10,2748535371,0.155337,-0.096696,0.483738,-0.855875,-0.198868,0.027788,-0.107906
11,2748552038,0.153667,-0.096493,0.483648,-0.856250,-0.080369,-0.039578,-0.179758
12,2748568705,0.152323,-0.096420,0.483976,-0.856313,-0.054138,-0.011126,-0.138299
13,2748585372,0.152643,-0.097111,0.484108,-0.856103,-0.072497,0.088218,0.086539
14,2748602039,0.151540,-0.096963,0.484344,-0.856182,0.034038,0.077950,0.053956
15,2748618706,0.150294,-0.096584,0.484693,-0.856247,0.007091,0.217782,0.126045
16,2748635373,0.150248,-0.096798,0.485234,-0.855925,0.031493,0.227095,0.202814
17,2748652040,0.150533,-0.097191,0.485908,-0.855448,0.199511,0.149184,0.122810
18,2748668707,0.149899,-0.097011,0.486865,-0.855035,-0.168729,0.907213,0.342088
19,2748685374,0.151601,-0.097280,0.476256,-0.860661,1.281279,-1.639134,1.652293
20,2748702041,0.153030,-0.101365,0.483389,-0.855947,-0.660182,1.464271,-2.055678
21,2748718708,0.151656,-0.097961,0.479195,-0.858941,-0.589189,0.323698,0.307681
22,2748735375,0.152058,-0.098976,0.480495,-0.858027,0.155712,-0.552346,0.424002
23,2748752042,0.151015,-0.098986,0.481028,-0.857912,-0.549826,0.624505,0.047105
24,2748768709,0.150051,-0.098694,0.481407,-0.857902,-0.453735,-0.282992,0.035040
25,2748785376,0.148447,-0.098563,0.481336,-0.858236,-0.600308,0.176916,-0.040200
26,2748802043,0.146292,-0.097928,0.481185,-0.858763,-0.513154,0.039098,-0.260031
27,2748818710,0.144906,-0.097737,0.481491,-0.858848,-0.309406,-0.203827,-0.193373
28,2748835377,0.143392,-0.097483,0.482081,-0.858800,-0.221064,-0.039808,-0.152362
29,2748852044,0.141339,-0.096855,0.482849,-0.858780,-0.101401,0.015236,-0.047847
30,2748868711,0.138900,-0.096025,0.483619,-0.858838,-0.004630,-0.003299,-0.029634
31,2748885378,0.137379,-0.095677,0.484339,-0.858716,0.037570,0.000400,0.000856
32,2748902045,0.135460,-0.095108,0.485063,-0.858675,0.098994,-0.007643,0.000897
33,2748918712,0.133394,-0.094458,0.485779,-0.858665,0.209319,0.048501,0.026643
34,2748935379,0.131616,-0.093951,0.486646,-0.858505,0.414870,0.007643,-0.001175
35,2748952046,0.129853,-0.093397,0.487483,-0.858359,0.606005,-0.059401,0.044334
36,2748968713,0.128372,-0.092853,0.488348,-0.858149,0.684240,0.038659,0.019026
37,2748985380,0.127107,-0.092335,0.489507,-0.857732,0.723013,0.000930,-0.016189
38,2749002047,0.125913,-0.091735,0.490677,-0.857304,0.699525,0.012243,-0.014316
39,2749018714,0.124507,-0.090904,0.491161,-0.857321,0.677477,-0.009472,0.085711
40,2749035381,0.123813,-0.090566,0.492529,-0.856672,0.574926,0.074051,-0.331019
41,2749052048,0.122403,-0.089848,0.494994,-0.855529,0.547836,0.019731,-0.110693
42,2749068715,0.121208,-0.089094,0.497373,-0.854397,0.438672,-0.134830,0.068137
43,2749085382,0.120252,-0.088398,0.498974,-0.853671,0.314063,-0.056795,0.273919
44,2749102049,0.119304,-0.087776,0.500598,-0.852917,0.270371,-0.078663,-0.350155
45,2749118716,0.118204,-0.087178,0.503257,-0.851566,0.207846,0.032806,-0.030534
46,2749135383,0.117289,-0.086656,0.504916,-0.850763,0.268910,-0.085063,0.261837
47,2749152050,0.116704,-0.086224,0.505903,-0.850301,0.277301,-0.063308,0.046361
48,2749168717,0.116345,-0.085821,0.506799,-0.849857,0.251479,-0.031906,-0.074415
49,2749185384,0.116030,-0.085349,0.507952,-0.849259,0.222906,0.053596,0.061341
50,2749202051,0.115805,-0.084788,0.508749,-0.848869,0.105201,0.048322,0.047688
51,2749218718,0.115552,-0.084034,0.510266,-0.848067,0.198427,-0.046566,-0.172180
52,2749235385,0.115364,-0.083347,0.512344,-0.846907,0.190266,-0.035528,0.096494
53,2749252052,0.115364,-0.082563,0.513630,-0.846205,0.150684,0.038517,0.288664
54,2749268719,0.115518,-0.081780,0.514311,-0.845846,0.286715,0.021599,-0.043330
55,2749285386,0.115682,-0.080902,0.515501,-0.845183,0.380845,0.028148,-0.384596
56,2749302053,0.115890,-0.079966,0.517279,-0.844157,0.198962,-0.117635,-0.179611
57,2749318720,0.116024,-0.079204,0.518818,-0.843265,-0.001881,0.077446,0.480489
58,2749335387,0.116173,-0.078187,0.520128,-0.842533,0.173615,0.071305,-0.244052
59,2749352054,0.116141,-0.076833,0.520608,-0.842365,0.842520,-0.074874,-0.788154
60,2749368721,0.115141,-0.076878,0.521519,-0.841935,-0.257681,-0.152490,-0.103347
61,2749385388,0.114365,-0.076726,0.521616,-0.841994,-0.863258,0.312548,1.525991
62,2749402055,0.114587,-0.074591,0.517547,-0.844663,-0.173016,0.216031,0.473941
63,2749418722,0.114824,-0.073759,0.516296,-0.845468,-0.015863,0.287713,-0.111854
64,2749435389,0.114511,-0.072321,0.517886,-0.844662,0.138265,0.268245,-0.930341
65,2749452056,0.114262,-0.070554,0.519666,-0.843752,0.240936,-0.112597,-0.286076
66,2749468723,0.114320,-0.068827,0.520060,-0.843644,0.241324,0.234968,-0.073847
67,2749485390,0.114424,-0.067343,0.520073,-0.843741,0.314412,-0.172182,0.212075
68,2749502057,0.116559,-0.066182,0.521531,-0.842641,0.140224,0.355381,-0.963176
69,2749518724,0.115028,-0.063680,0.529450,-0.838093,-0.193425,0.796659,1.093799
70,2749535391,0.115086,-0.059790,0.535560,-0.834481,0.580561,-0.458323,0.192559
71,2749552058,0.117274,-0.056168,0.535034,-0.834766,0.534930,-0.421829,0.549994
72,2749568725,0.121893,-0.049426,0.532273,-0.836294,0.479975,-0.313480,-0.434200
73,2749585392,0.128090,-0.040153,0.535200,-0.833994,0.440832,0.533439,-0.130437
74,2749602059,0.128317,-0.030286,0.543608,-0.828922,-0.034012,0.115283,0.576753
75,2749618726,0.124776,-0.019849,0.556487,-0.821196,0.421725,0.024668,-0.359544
76,2749635393,0.122839,-0.004565,0.558906,-0.820072,0.567787,-1.270181,0.370692
77,2749652060,0.115178,0.015923,0.562713,-0.818437,-0.060694,1.443984,-0.118092
78,2749668727,0.105068,0.020342,0.572952,-0.812574,-0.254862,0.330757,-0.527533
79,2749685394,0.096168,0.019202,0.585707,-0.804571,-0.211764,1.874561,-1.331968
