sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-03_20:52:36_798 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1254948284,-0.854215,0.345217,-0.173539,0.347890,0.077234,-0.022440,0.069027
2,1254964951,-0.853842,0.345961,-0.173547,0.348062,0.037100,-0.117680,0.055436
3,1254981618,-0.853515,0.346608,-0.173623,0.348182,0.004454,-0.011141,0.121603
4,1254998285,-0.853321,0.347143,-0.173651,0.348113,-0.007321,0.048181,0.122325
5,1255014952,-0.853165,0.347622,-0.173722,0.347981,0.047560,0.028894,0.084283
6,1255031619,-0.852994,0.347912,-0.174002,0.347970,0.076814,0.009560,0.060205
7,1255048286,-0.852780,0.348388,-0.174289,0.347876,0.103177,0.002998,0.070878
8,1255064953,-0.852577,0.348799,-0.174683,0.347763,0.028212,-0.028721,0.057212
9,1255081620,-0.852429,0.349070,-0.175116,0.347636,0.077527,0.006552,0.065449
10,1255098287,-0.852346,0.349131,-0.175614,0.347527,0.065386,-0.003986,0.099887
11,1255114954,-0.852329,0.348950,-0.176256,0.347425,0.007762,-0.000492,0.157955
12,1255131621,-0.852365,0.348729,-0.176806,0.347279,0.050792,0.052180,0.106027
13,1255148288,-0.852360,0.348552,-0.177456,0.347137,0.064448,-0.009527,0.045046
14,1255164955,-0.852322,0.348357,-0.178195,0.347048,0.077075,-0.000793,0.059834
15,1255181622,-0.852238,0.348141,-0.179028,0.347044,0.003743,0.032075,0.056464
16,1255198289,-0.852099,0.347955,-0.179846,0.347148,0.006738,0.119481,0.018595
17,1255214956,-0.851840,0.347981,-0.180691,0.347317,0.016350,0.158330,-0.052803
18,1255231623,-0.851522,0.348130,-0.181523,0.347515,0.041122,0.170651,-0.015765
19,1255248290,-0.851204,0.348358,-0.182268,0.347676,0.071223,0.044792,0.021450
20,1255264957,-0.850935,0.348541,-0.182971,0.347782,0.123270,-0.030600,0.086106
21,1255281624,-0.850722,0.348658,-0.183659,0.347822,0.111084,-0.034377,0.086820
22,1255298291,-0.850554,0.348733,-0.184266,0.347838,0.099556,0.010869,0.036816
23,1255314958,-0.850354,0.348926,-0.184890,0.347803,-0.009058,-0.002324,0.100007
24,1255331625,-0.850207,0.349107,-0.185425,0.347694,-0.005861,0.022346,0.123491
25,1255348292,-0.850171,0.349223,-0.185768,0.347482,-0.049166,0.046709,0.058084
26,1255364959,-0.850162,0.349333,-0.186029,0.347254,0.001431,0.015195,0.014724
27,1255381626,-0.850185,0.349465,-0.186246,0.346949,0.004984,-0.062344,0.068511
28,1255398293,-0.850303,0.349524,-0.186300,0.346571,-0.114130,-0.045429,0.194957
29,1255414960,-0.850561,0.349458,-0.186056,0.346136,-0.232367,0.043765,0.163905
30,1255431627,-0.850862,0.349416,-0.185598,0.345683,-0.192920,0.103814,0.043746
31,1255448294,-0.851206,0.349369,-0.184973,0.345219,-0.122860,0.141436,-0.009769
32,1255464961,-0.851560,0.349319,-0.184341,0.344734,-0.090885,0.081285,-0.017299
33,1255481628,-0.851852,0.349307,-0.183916,0.344250,0.005155,-0.067358,0.024438
34,1255498295,-0.852151,0.349294,-0.183577,0.343705,0.089555,-0.207835,0.039924
35,1255514962,-0.852495,0.349152,-0.183382,0.343100,0.055889,-0.207330,0.079088
36,1255531629,-0.852919,0.348839,-0.183285,0.342416,0.022281,-0.182890,0.089865
37,1255548296,-0.853400,0.348476,-0.183197,0.341634,-0.032479,-0.044085,0.062966
38,1255564963,-0.853933,0.348124,-0.183101,0.340711,-0.079008,0.043926,0.002687
39,1255581630,-0.854474,0.347856,-0.182993,0.339686,-0.033736,0.001385,0.008965
40,1255598297,-0.854997,0.347815,-0.182804,0.338510,0.074143,-0.127566,0.012186
41,1255614964,-0.855470,0.347805,-0.182694,0.337381,0.178048,-0.267543,0.008485
42,1255631631,-0.855917,0.347643,-0.182756,0.336382,0.216034,-0.330928,-0.006315
43,1255648298,-0.856332,0.347410,-0.182941,0.335462,0.317296,-0.340823,0.037909
44,1255664965,-0.856679,0.347237,-0.183253,0.334584,0.394867,-0.342622,0.004466
45,1255681632,-0.856940,0.347097,-0.183687,0.333824,0.453163,-0.355896,0.024985
46,1255698299,-0.857082,0.346951,-0.184242,0.333306,0.410473,-0.297142,0.068075
47,1255714966,-0.857065,0.346896,-0.184901,0.333040,0.366253,-0.191272,0.068402
48,1255731633,-0.856967,0.346811,-0.185504,0.333045,0.256813,-0.130327,0.093630
49,1255748300,-0.856807,0.347244,-0.185568,0.332970,0.371716,0.075220,0.122581
50,1255764967,-0.855879,0.359596,-0.166782,0.332185,3.078949,-5.776327,-0.778524
51,1255781634,-0.855908,0.352006,-0.181592,0.332475,0.011226,2.707988,1.690322
52,1255798301,-0.856735,0.354053,-0.191613,0.322394,-1.158449,-0.931983,0.261091
53,1255814968,-0.856115,0.358922,-0.193051,0.317765,-0.419171,2.745359,-0.362001
54,1255831635,-0.856379,0.357719,-0.193030,0.318424,-0.685829,0.760007,0.223757
