sep=,
DeviceTag:,Movella DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-03_20:50:33_949 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1132226181,0.306202,0.023129,0.278470,-0.910033,0.318096,0.125176,0.064541
2,1132242848,0.306827,0.027896,0.273919,-0.911070,0.502785,-0.154297,-0.023281
3,1132259515,0.307573,0.032992,0.267818,-0.912460,-0.003633,0.099772,0.120708
4,1132276182,0.307295,0.035328,0.264688,-0.913379,-0.216499,0.202056,0.179708
5,1132292849,0.306702,0.035953,0.262520,-0.914180,-0.048836,-0.096782,0.089441
6,1132309516,0.306158,0.035912,0.259309,-0.915280,-0.092912,0.003336,0.142196
7,1132326183,0.306152,0.035448,0.256192,-0.916177,0.014934,-0.155681,-0.086869
8,1132342850,0.306012,0.035407,0.252816,-0.917163,0.042629,-0.067916,0.094703
9,1132359517,0.305698,0.035503,0.249147,-0.918267,-0.045671,-0.036028,0.086931
10,1132376184,0.305393,0.035654,0.245392,-0.919373,-0.268589,0.069996,0.091357
11,1132392851,0.304873,0.035831,0.242376,-0.920338,-0.332599,-0.021758,0.094052
12,1132409518,0.304242,0.035677,0.239996,-0.921176,-0.257891,-0.036959,0.091069
13,1132426185,0.303806,0.035283,0.237197,-0.922060,-0.114263,-0.054256,-0.041434
14,1132442852,0.303192,0.035076,0.234990,-0.922835,-0.293772,0.097284,0.080844
15,1132459519,0.302685,0.034403,0.233311,-0.923452,-0.174733,0.079607,0.112487
16,1132476186,0.302231,0.034026,0.232424,-0.923839,-0.208481,0.032844,0.072453
17,1132492853,0.301833,0.033862,0.231905,-0.924105,-0.192339,0.021480,0.064079
18,1132509520,0.301442,0.033834,0.231741,-0.924275,-0.132404,-0.009674,0.068002
19,1132526187,0.301087,0.033823,0.231631,-0.924419,-0.041402,-0.018392,0.004530
20,1132542854,0.300928,0.033727,0.231618,-0.924477,0.025508,-0.014072,-0.010495
21,1132559521,0.300816,0.033842,0.231741,-0.924479,-0.009838,-0.036265,-0.073646
22,1132576188,0.300770,0.034024,0.231929,-0.924440,-0.078801,0.076949,0.095131
