sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-03_21:10:59_793 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2358083605,0.691885,-0.683731,-0.092984,0.212520,0.047578,0.155124,-0.152931
2,2358100272,0.693702,-0.682829,-0.093270,0.209347,0.064868,0.185822,-0.248214
3,2358116939,0.695579,-0.681562,-0.094151,0.206839,-0.053035,-0.091541,-0.106619
4,2358133606,0.696142,-0.681817,-0.093563,0.204355,0.019727,0.029675,-0.042165
5,2358150273,0.696409,-0.682396,-0.093174,0.201676,0.057053,0.044548,0.033189
6,2358166940,0.696499,-0.683121,-0.092974,0.198983,-0.140167,-0.230936,0.118807
7,2358183607,0.696430,-0.683769,-0.092816,0.197064,-0.167654,-0.117702,0.141209
8,2358200274,0.696618,-0.684330,-0.091869,0.194881,-0.003572,0.112723,-0.100690
9,2358216941,0.696638,-0.684981,-0.091435,0.192718,-0.132110,-0.153870,-0.023726
10,2358233608,0.696854,-0.685527,-0.090896,0.190233,-0.076691,0.071837,-0.154040
11,2358250275,0.697215,-0.685862,-0.090966,0.187652,-0.313074,-0.281766,-0.052152
12,2358266942,0.697397,-0.686449,-0.090659,0.184959,-0.043904,0.015535,0.218826
13,2358283609,0.697499,-0.686902,-0.090432,0.182993,-0.242842,-0.196542,0.244836
14,2358300276,0.697370,-0.687455,-0.090156,0.181540,-0.022436,-0.043355,0.071055
15,2358316943,0.697135,-0.688180,-0.089528,0.179999,0.106905,0.038850,-0.015054
16,2358333610,0.696922,-0.688847,-0.089101,0.178479,-0.003295,0.020667,-0.028317
17,2358350277,0.696727,-0.689480,-0.088414,0.177131,0.001706,0.023326,0.036106
18,2358366944,0.696619,-0.689982,-0.087868,0.175870,-0.024261,0.002689,0.047782
19,2358383611,0.696609,-0.690399,-0.087301,0.174549,-0.016377,0.069542,0.054900
20,2358400278,0.696590,-0.690824,-0.086723,0.173224,0.029117,0.036852,-0.018201
21,2358416945,0.696440,-0.691389,-0.086096,0.171880,0.157754,0.073411,-0.090270
22,2358433612,0.696241,-0.692062,-0.085505,0.170270,0.125905,0.099329,-0.064051
23,2358450279,0.696103,-0.692684,-0.084959,0.168566,0.026436,-0.002781,0.038446
24,2358466946,0.696026,-0.693273,-0.084325,0.166772,0.021593,0.022594,0.056814
25,2358483613,0.695917,-0.693924,-0.083708,0.164823,0.073315,0.127508,-0.092608
26,2358500280,0.695795,-0.694598,-0.082871,0.162911,0.008470,0.020528,-0.025619
27,2358516947,0.695602,-0.695325,-0.082152,0.160982,0.162241,0.000755,0.042687
28,2358533614,0.695495,-0.695940,-0.081294,0.159214,0.193391,0.095146,0.105118
29,2358550281,0.695557,-0.696303,-0.080601,0.157702,0.169105,0.103910,0.033147
30,2358566948,0.695658,-0.696675,-0.079697,0.156064,0.077920,0.077143,-0.040809
31,2358583615,0.695718,-0.697130,-0.078806,0.154205,0.103735,0.087541,-0.071765
32,2358600282,0.695733,-0.697646,-0.077983,0.152211,0.215756,0.105535,-0.072112
33,2358616949,0.695931,-0.697893,-0.077191,0.150568,0.094491,0.006038,0.105806
34,2358633616,0.696080,-0.698185,-0.076212,0.149012,0.073950,0.104145,0.029983
35,2358650283,0.696330,-0.698330,-0.075203,0.147675,0.028740,0.051810,0.028699
36,2358666950,0.696668,-0.698346,-0.074244,0.146485,-0.026702,-0.016151,0.041554
37,2358683617,0.697055,-0.698306,-0.073361,0.145272,-0.059500,-0.030879,0.057675
38,2358700284,0.697354,-0.698373,-0.072608,0.143889,-0.040513,0.003726,0.057229
39,2358716951,0.697538,-0.698548,-0.071901,0.142498,0.019727,0.026402,-0.005955
40,2358733618,0.697666,-0.698765,-0.071200,0.141150,-0.026278,0.008648,-0.022882
41,2358750285,0.697738,-0.699025,-0.070513,0.139847,-0.032391,0.027832,-0.008304
42,2358766952,0.697779,-0.699293,-0.069914,0.138600,-0.213007,-0.071472,0.042992
43,2358783619,0.697848,-0.699529,-0.069323,0.137350,-0.180602,-0.016050,0.043222
44,2358800286,0.697992,-0.699661,-0.068690,0.136259,-0.150944,-0.021722,0.003121
45,2358816953,0.698184,-0.699677,-0.068172,0.135454,-0.145985,0.021185,-0.035956
46,2358833620,0.698362,-0.699653,-0.067724,0.134885,-0.058107,-0.013617,-0.071393
47,2358850287,0.698566,-0.699565,-0.067276,0.134506,0.008310,0.016896,-0.027601
48,2358866954,0.698847,-0.699404,-0.066836,0.134102,0.009519,0.038594,-0.030315
49,2358883621,0.699079,-0.699310,-0.066479,0.133562,-0.000366,0.026216,-0.104768
50,2358900288,0.699203,-0.699329,-0.066084,0.133006,0.051131,0.040651,-0.107055
51,2358916955,0.699326,-0.699353,-0.065664,0.132443,0.009321,0.007890,-0.055779
52,2358933622,0.699444,-0.699376,-0.065204,0.131925,-0.081231,-0.033707,-0.007110
53,2358950289,0.699537,-0.699387,-0.064815,0.131562,-0.059469,0.010198,-0.006882
54,2358966956,0.699628,-0.699386,-0.064442,0.131264,-0.065474,-0.011564,0.020799
55,2358983623,0.699725,-0.699387,-0.064042,0.130938,-0.049961,-0.016967,-0.023166
56,2359000290,0.699796,-0.699405,-0.063720,0.130620,-0.065448,-0.020169,-0.055491
57,2359016957,0.699834,-0.699447,-0.063513,0.130293,-0.111925,-0.038831,0.002559
58,2359033624,0.699843,-0.699504,-0.063369,0.130011,-0.108418,-0.017688,0.047612
59,2359050291,0.699834,-0.699583,-0.063166,0.129733,-0.065187,-0.004434,0.046602
60,2359066958,0.699832,-0.699606,-0.063091,0.129648,-0.031506,0.009461,0.062396
61,2359083625,0.699851,-0.699615,-0.062949,0.129568,0.000593,0.020244,0.011006
62,2359100292,0.699914,-0.699588,-0.062772,0.129464,-0.008365,0.003215,-0.023083
63,2359116959,0.699955,-0.699582,-0.062641,0.129334,-0.010490,0.004325,-0.012738
64,2359133626,0.700016,-0.699520,-0.062656,0.129334,-0.050480,0.008100,0.050367
65,2359150293,0.700172,-0.699350,-0.062706,0.129384,-0.017206,-0.007870,0.076938
66,2359166960,0.700355,-0.699149,-0.062738,0.129466,0.030804,0.013067,0.002859
67,2359183627,0.700517,-0.698970,-0.062724,0.129561,0.058788,0.013695,-0.052266
68,2359200294,0.700628,-0.698852,-0.062711,0.129605,0.069537,0.006179,-0.117280
69,2359216961,0.700891,-0.698605,-0.062973,0.129387,0.110650,0.057665,-0.309008
70,2359233628,0.701572,-0.697889,-0.063898,0.129101,-0.059734,-0.055133,-0.147293
71,2359250295,0.702430,-0.697005,-0.064868,0.128730,0.024326,0.004401,-0.011638
72,2359266962,0.703704,-0.695619,-0.065860,0.128768,-0.111523,-0.079458,0.269117
73,2359283629,0.704891,-0.694317,-0.066406,0.129021,0.070552,-0.067058,-0.143479
74,2359300296,0.705505,-0.693662,-0.066599,0.129090,0.146577,0.060472,0.190923
75,2359316963,0.706020,-0.693140,-0.066469,0.129147,0.234808,-0.035643,-0.175727
76,2359333630,0.706594,-0.692585,-0.066550,0.128942,0.222983,0.075349,-0.251973
77,2359350297,0.707005,-0.692286,-0.066979,0.128069,0.044883,-0.005970,-0.314477
78,2359366964,0.707114,-0.692398,-0.067502,0.126577,-0.065306,-0.183349,0.082373
79,2359383631,0.706751,-0.693087,-0.067537,0.124804,0.201742,-0.183904,-0.016754
80,2359400298,0.705981,-0.694301,-0.067355,0.122491,0.522029,-0.038655,-0.340685
81,2359416965,0.704770,-0.696079,-0.066817,0.119631,0.095852,-0.157781,0.213759
82,2359433632,0.703718,-0.697563,-0.066314,0.117443,-0.630420,-0.187864,0.509348
83,2359450299,0.702649,-0.699009,-0.065793,0.115522,0.100588,0.030611,-0.327714
84,2359466966,0.701782,-0.700140,-0.066148,0.113730,-0.200394,-0.098323,0.018972
85,2359483633,0.701376,-0.700882,-0.066489,0.111440,0.265184,0.129054,-0.175716
86,2359500300,0.700891,-0.701741,-0.066450,0.109082,-0.021950,-0.006811,0.551752
87,2359516967,0.700309,-0.702575,-0.065964,0.107737,0.405337,0.186891,0.211216
88,2359533634,0.699519,-0.703667,-0.065236,0.106183,0.604832,0.135839,0.024546
89,2359550301,0.698894,-0.704639,-0.064435,0.104319,0.397901,0.135782,0.162679
90,2359566968,0.698801,-0.704974,-0.063955,0.102966,0.215270,0.133308,-0.069643
91,2359583635,0.698514,-0.705538,-0.063618,0.101246,0.236375,0.206011,-0.122159
92,2359600302,0.698174,-0.706240,-0.062473,0.099397,0.483363,0.138305,-0.057110
93,2359616969,0.697759,-0.707043,-0.060839,0.097590,0.847841,0.166123,-0.142587
94,2359633636,0.697467,-0.707730,-0.059155,0.095719,0.861153,0.058564,-0.297306
95,2359650303,0.697357,-0.708194,-0.058169,0.093671,0.243709,0.001732,-0.266380
96,2359666970,0.697408,-0.708513,-0.056963,0.091599,-0.393680,0.033661,0.065509
97,2359683637,0.697779,-0.708469,-0.055566,0.089958,-0.303199,-0.086415,0.200468
98,2359700304,0.698161,-0.708427,-0.053601,0.088501,-0.273674,-0.022076,0.159020
99,2359716971,0.698418,-0.708528,-0.051562,0.086862,-0.170511,0.036647,0.014261
100,2359733638,0.698644,-0.708663,-0.049624,0.085053,-0.379712,-0.042800,0.304192
101,2359750305,0.698737,-0.708887,-0.047944,0.083377,-0.463751,-0.063437,0.046961
102,2359766972,0.698618,-0.709266,-0.046571,0.081908,-0.468576,0.022693,0.044036
103,2359783639,0.698334,-0.709838,-0.045135,0.080157,-0.214911,0.102613,-0.128956
104,2359800306,0.698032,-0.710447,-0.043942,0.078029,-0.473391,0.061715,-0.025417
105,2359816973,0.697794,-0.710974,-0.043004,0.075859,-0.638499,0.004597,-0.008007
106,2359833640,0.697597,-0.711407,-0.042303,0.073970,-0.619651,0.138272,0.133071
107,2359850307,0.697539,-0.711736,-0.041472,0.071790,-0.638429,0.275115,0.390436
108,2359866974,0.697599,-0.711848,-0.041039,0.070335,-0.375832,0.028164,0.379971
109,2359883641,0.697891,-0.711686,-0.040517,0.069373,0.004634,0.203692,0.270627
110,2359900308,0.698548,-0.711119,-0.040090,0.068833,0.136053,0.030919,0.061593
111,2359916975,0.699236,-0.710451,-0.039961,0.068812,0.159281,-0.016736,-0.196718
112,2359933642,0.699872,-0.709828,-0.039779,0.068884,0.227395,-0.060830,-0.221524
113,2359950309,0.700504,-0.709223,-0.039328,0.068954,0.201014,0.139365,0.003131
