sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-26_13:59:46_498 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4234849619,0.065489,0.788146,-0.003990,0.611986,-0.010686,-0.048013,0.129302
2,4234866286,0.065550,0.788016,-0.003222,0.612151,-0.020980,-0.081565,0.117114
3,4234882953,0.065837,0.787982,-0.002097,0.612169,0.014703,-0.007003,0.078300
4,4234899620,0.066252,0.787861,-0.002074,0.612280,-0.044012,0.035725,0.127831
5,4234916287,0.066105,0.787735,-0.001810,0.612459,-0.084175,-0.009467,0.131869
6,4234932954,0.066179,0.787791,-0.001929,0.612378,-0.078966,-0.083944,0.094689
7,4234949621,0.066252,0.787987,-0.001745,0.612119,-0.036554,-0.054818,0.086646
8,4234966288,0.066491,0.788136,-0.001735,0.611901,-0.001635,0.014818,0.113225
9,4234982955,0.066635,0.788163,-0.001815,0.611851,0.008656,0.024255,0.113220
10,4234999622,0.066612,0.788164,-0.001838,0.611852,0.003836,-0.023494,0.104292
11,4235016289,0.066597,0.788109,-0.001798,0.611924,-0.018287,-0.025800,0.118199
12,4235032956,0.066786,0.788045,-0.002027,0.611986,-0.024806,0.004967,0.088405
13,4235049623,0.066862,0.787975,-0.002055,0.612067,-0.068062,0.036145,0.097853
14,4235066290,0.066885,0.787892,-0.002017,0.612171,-0.074312,0.047648,0.105814
15,4235082957,0.066777,0.787942,-0.001904,0.612119,-0.072916,0.007724,0.092422
16,4235099624,0.066947,0.788103,-0.002016,0.611894,-0.065228,-0.012975,0.117906
17,4235116291,0.067183,0.788219,-0.001962,0.611719,-0.081493,0.046533,0.194088
18,4235132958,0.067637,0.788131,-0.001860,0.611781,-0.193107,0.087983,0.303076
19,4235149625,0.068429,0.787577,-0.001575,0.612408,-0.417430,0.182600,0.367112
20,4235166292,0.069034,0.786836,-0.001075,0.613292,-0.526835,0.274592,0.297753
21,4235182959,0.068818,0.786747,-0.000177,0.613432,-0.455059,0.118244,0.151619
22,4235199626,0.068551,0.787643,0.000139,0.612311,-0.252607,-0.159549,0.166019
23,4235216293,0.068871,0.788367,-0.000035,0.611343,-0.074838,-0.305434,0.319925
24,4235232960,0.069794,0.787927,-0.000067,0.611805,-0.043551,-0.175900,0.431449
25,4235249627,0.070747,0.786494,-0.000075,0.613536,-0.085462,0.048889,0.180502
26,4235266294,0.071336,0.784960,0.000100,0.615431,-0.167743,0.075707,-0.207794
27,4235282961,0.071688,0.784640,-0.000089,0.615797,-0.235239,0.053641,-0.432255
28,4235299628,0.070943,0.785845,0.000087,0.614346,-0.013938,-0.000618,-0.363653
29,4235316295,0.069907,0.787590,0.000208,0.612226,0.335002,-0.135991,-0.198811
30,4235332962,0.069351,0.788614,0.000179,0.610969,0.557043,-0.210318,-0.064145
31,4235349629,0.069075,0.788648,0.000192,0.610957,0.554648,-0.206852,-0.115770
32,4235366296,0.068799,0.788480,0.000127,0.611204,0.430671,-0.185998,-0.184036
33,4235382963,0.068335,0.788708,0.000068,0.610962,0.281336,-0.226428,-0.208217
34,4235399630,0.067805,0.789460,0.000126,0.610049,0.314867,-0.348896,-0.206594
35,4235416297,0.067862,0.790531,-0.000131,0.608655,0.341687,-0.380038,0.003537
