
sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-26_12:07:26_198 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,604730868,0.033910,-0.690457,-0.114356,-0.713472,0.046323,0.077089,0.047564
2,604747535,0.033487,-0.689770,-0.114162,-0.714187,0.006115,0.093689,0.127702
3,604764202,0.033113,-0.689078,-0.113695,-0.714947,-0.002718,0.079087,0.083003
4,604780869,0.032787,-0.688565,-0.113582,-0.715474,-0.024212,0.114721,-0.001634
5,604797536,0.032454,-0.688299,-0.113540,-0.715751,-0.043629,0.153678,0.043960
6,604814203,0.032325,-0.688107,-0.113634,-0.715926,-0.020171,0.148407,0.074484
7,604830870,0.032247,-0.687873,-0.113844,-0.716122,-0.067318,0.112954,0.130528
8,604847537,0.032141,-0.687678,-0.114089,-0.716275,-0.068115,0.041593,0.067027
9,604864204,0.031707,-0.687674,-0.114109,-0.716295,-0.024795,0.008352,0.019331
10,604880871,0.031339,-0.687719,-0.114165,-0.716259,-0.007158,-0.022585,0.077006
11,604897538,0.030825,-0.687748,-0.113970,-0.716285,0.029256,0.014575,0.176310
12,604914205,0.030250,-0.687687,-0.113614,-0.716424,0.017297,0.059126,0.177538
13,604930872,0.029778,-0.687623,-0.113261,-0.716561,0.068049,0.122016,0.163811
14,604947539,0.029417,-0.687492,-0.112895,-0.716760,0.078760,0.160282,0.217280
15,604964206,0.029063,-0.687281,-0.112431,-0.717050,0.060875,0.146908,0.200249
16,604980873,0.028810,-0.686965,-0.111909,-0.717443,0.005567,0.143353,0.151868
17,604997540,0.028648,-0.686720,-0.111334,-0.717775,0.024131,0.158196,0.110751
18,605014207,0.028556,-0.686516,-0.110723,-0.718067,0.022008,0.197709,0.148981
19,605030874,0.028489,-0.686166,-0.110029,-0.718511,-0.007421,0.178256,0.080823
20,605047541,0.028355,-0.685907,-0.109220,-0.718888,-0.016272,0.163818,-0.053691
21,605064208,0.028228,-0.685861,-0.108366,-0.719066,-0.000936,0.195330,-0.090983
22,605080875,0.028121,-0.686017,-0.107536,-0.719045,0.031495,0.200998,-0.008699
23,605097542,0.028133,-0.686205,-0.106797,-0.718976,0.028543,0.246970,0.027730
24,605114209,0.028151,-0.686324,-0.105988,-0.718981,-0.003859,0.244538,-0.021811
25,605130876,0.028061,-0.686582,-0.105042,-0.718877,-0.060856,0.283955,-0.049719
26,605147543,0.028084,-0.686995,-0.104170,-0.718608,-0.080076,0.306843,-0.027170
27,605164210,0.028263,-0.687625,-0.103532,-0.718091,-0.016543,0.247920,0.086236
28,605180877,0.028421,-0.688138,-0.102916,-0.717681,0.012715,0.163583,0.170926
29,605197544,0.028588,-0.688534,-0.102448,-0.717363,0.027054,0.080055,0.081844
30,605214211,0.028624,-0.689086,-0.102070,-0.716884,0.018544,0.036504,0.055509
31,605230878,0.028553,-0.689630,-0.101726,-0.716413,-0.001608,0.127302,0.132134
32,605247545,0.028562,-0.690016,-0.101393,-0.716088,0.001384,0.178104,0.179730
33,605264212,0.028666,-0.690266,-0.101163,-0.715875,0.019840,0.101263,0.153274
34,605280879,0.028679,-0.690461,-0.100947,-0.715717,0.000416,0.040099,0.128171
35,605297546,0.028543,-0.690656,-0.100658,-0.715575,0.000208,0.037852,0.124363
36,605314213,0.028421,-0.690921,-0.100525,-0.715343,0.017214,0.091194,0.127620
37,605330880,0.028268,-0.691161,-0.100452,-0.715127,0.068411,0.138146,0.166028
38,605347547,0.028199,-0.691225,-0.100535,-0.715056,0.078306,0.165876,0.163524
39,605364214,0.028215,-0.691182,-0.100752,-0.715067,0.025866,0.109458,0.161314
40,605380881,0.028278,-0.691127,-0.101066,-0.715073,0.053930,0.041128,0.092203
41,605397548,0.028298,-0.691067,-0.101416,-0.715081,0.048537,-0.039764,0.127122
42,605414215,0.028228,-0.691000,-0.101749,-0.715100,0.053475,-0.008368,0.163701
43,605430882,0.028166,-0.690816,-0.102110,-0.715230,0.018629,-0.000565,0.196117
44,605447549,0.028061,-0.690461,-0.102373,-0.715539,-0.003160,-0.038340,0.116801
45,605464216,0.027988,-0.690246,-0.102687,-0.715704,-0.033849,-0.067164,0.053167
46,605480883,0.027863,-0.690166,-0.102979,-0.715744,0.000332,-0.077012,0.141759
47,605497550,0.027682,-0.689958,-0.103220,-0.715918,0.038558,-0.083715,0.166191
48,605514217,0.027472,-0.689624,-0.103386,-0.716224,0.030443,-0.075195,0.121895
