
sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-26_11:59:40_314 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,138860724,0.265723,-0.693375,-0.303976,-0.596843,0.015172,-0.007846,0.130508
2,138877391,0.265757,-0.693243,-0.303988,-0.596974,0.011336,0.014037,0.122062
3,138894058,0.266082,-0.692931,-0.304031,-0.597171,-0.032317,-0.026112,0.124103
4,138910725,0.265774,-0.693076,-0.303485,-0.597416,-0.022692,-0.014738,0.076468
5,138927392,0.265892,-0.693052,-0.303458,-0.597405,-0.010548,-0.015862,0.060661
6,138944059,0.265927,-0.693050,-0.303370,-0.597437,0.015076,0.004562,0.058012
7,138960726,0.266197,-0.692883,-0.303570,-0.597409,0.013454,-0.007842,0.088480
8,138977393,0.266260,-0.692817,-0.303542,-0.597472,-0.001541,0.003644,0.093474
9,138994060,0.266385,-0.692697,-0.303514,-0.597570,-0.024826,-0.002939,0.079097
10,139010727,0.266762,-0.692494,-0.303759,-0.597512,-0.011464,0.004964,0.031723
11,139027394,0.266509,-0.692640,-0.303383,-0.597646,0.009499,-0.024044,0.079513
12,139044061,0.266584,-0.692574,-0.303460,-0.597651,0.036499,0.006922,0.118299
13,139060728,0.266648,-0.692435,-0.303413,-0.597807,0.048075,0.051064,0.123695
14,139077395,0.267086,-0.692052,-0.303507,-0.598007,-0.042756,-0.003735,0.071255
15,139094062,0.266770,-0.692265,-0.302953,-0.598183,0.003236,-0.097585,0.064705
16,139110729,0.266731,-0.692323,-0.303029,-0.598094,0.108460,-0.037085,0.145893
17,139127396,0.266891,-0.692070,-0.303136,-0.598261,-0.006930,-0.064696,0.142308
18,139144063,0.266787,-0.691985,-0.303021,-0.598465,-0.062039,-0.062243,0.063280
19,139160730,0.266829,-0.691972,-0.303168,-0.598386,-0.028655,0.014858,0.063938
20,139177397,0.267014,-0.691855,-0.303392,-0.598326,-0.029757,0.055742,0.093441
21,139194064,0.267177,-0.691732,-0.303503,-0.598338,-0.041556,0.006218,0.062483
22,139210731,0.266905,-0.691880,-0.303217,-0.598434,-0.016318,-0.014755,0.048519
23,139227398,0.267021,-0.691842,-0.303422,-0.598322,0.004910,-0.000682,0.063818
24,139244065,0.267045,-0.691837,-0.303471,-0.598293,0.002612,0.007166,0.055221
25,139260732,0.267013,-0.691880,-0.303475,-0.598256,0.033493,0.019622,0.060177
26,139277399,0.266855,-0.691942,-0.303289,-0.598348,-0.011808,-0.000165,0.099212
27,139294066,0.267044,-0.691891,-0.303572,-0.598179,0.008776,-0.009664,0.103325
28,139310733,0.267199,-0.691857,-0.303788,-0.598039,0.035937,0.001121,0.141012
29,139327400,0.267085,-0.691868,-0.303582,-0.598183,0.037359,-0.045677,0.131083
30,139344067,0.267164,-0.691820,-0.303649,-0.598169,0.024926,-0.023175,0.064690
31,139360734,0.267117,-0.691873,-0.303590,-0.598158,0.002527,-0.022385,0.111145
32,139377401,0.267073,-0.691890,-0.303480,-0.598214,-0.000359,-0.024649,0.109594
33,139394068,0.266954,-0.691977,-0.303280,-0.598268,0.002293,-0.024211,0.071581
34,139410735,0.267100,-0.691953,-0.303446,-0.598147,-0.010087,-0.044574,0.073266
35,139427402,0.267109,-0.692026,-0.303522,-0.598019,0.002056,-0.028725,0.070011
36,139444069,0.267024,-0.692136,-0.303501,-0.597941,0.013055,0.015645,0.101875
37,139460736,0.266775,-0.692295,-0.303221,-0.598010,0.003037,-0.002094,0.108796
38,139477403,0.266603,-0.692441,-0.303061,-0.597998,0.003792,0.003843,0.111084
39,139494070,0.266535,-0.692590,-0.303061,-0.597857,0.030971,0.026456,0.146615
40,139510737,0.266327,-0.692728,-0.302815,-0.597914,0.043511,0.018121,0.147218
41,139527404,0.266279,-0.692731,-0.302724,-0.597978,0.033205,-0.001732,0.111787
42,139544071,0.266118,-0.692805,-0.302556,-0.598050,0.000831,0.001539,0.101089
43,139560738,0.266024,-0.692833,-0.302464,-0.598105,0.011056,0.021024,0.102045
44,139577405,0.265787,-0.692914,-0.302131,-0.598285,0.002053,0.015885,0.102509
45,139594072,0.265704,-0.692895,-0.301968,-0.598426,-0.020867,-0.013131,0.060080
46,139610739,0.265664,-0.692911,-0.301866,-0.598476,-0.030846,0.004954,0.063232
47,139627406,0.265544,-0.692990,-0.301682,-0.598530,-0.010028,0.006672,0.073717
48,139644073,0.265551,-0.693034,-0.301689,-0.598473,0.009516,0.031315,0.075053
49,139660740,0.265440,-0.693039,-0.301595,-0.598564,-0.012106,0.019386,0.149181
50,139677407,0.265440,-0.692925,-0.301507,-0.598740,-0.030262,0.065372,0.095421
51,139694074,0.265320,-0.692896,-0.301110,-0.599027,-0.070446,0.055143,0.093716
52,139710741,0.265413,-0.692822,-0.300910,-0.599171,-0.038836,0.006761,0.087306
53,139727408,0.265423,-0.692882,-0.300857,-0.599125,0.048597,0.011077,0.113988
