sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-05-26_12:14:48_561 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1047083010,0.070934,-0.840604,-0.282800,-0.456484,0.223770,0.086704,-0.136623
2,1047099677,0.070571,-0.838762,-0.281230,-0.460875,0.182709,0.151685,-0.273166
3,1047116344,0.071349,-0.836742,-0.281347,-0.464343,0.036767,0.058061,-0.202052
4,1047133011,0.071789,-0.835207,-0.281904,-0.466696,-0.018197,-0.140610,0.084625
5,1047149678,0.071365,-0.833470,-0.282702,-0.469375,-0.047623,-0.291520,0.387533
6,1047166345,0.070002,-0.831313,-0.283039,-0.473189,0.313669,-0.150407,0.209179
7,1047183012,0.068695,-0.829203,-0.283341,-0.476886,0.731264,0.120886,-0.426454
8,1047199679,0.067789,-0.828142,-0.283784,-0.478593,0.712919,0.263342,-0.852723
9,1047216346,0.067882,-0.827951,-0.284489,-0.478491,0.286959,0.062192,-0.387130
10,1047233013,0.068158,-0.827765,-0.285272,-0.478308,-0.020520,-0.145893,0.276480
11,1047249680,0.067675,-0.827482,-0.285496,-0.478733,0.016609,-0.297952,0.373071
12,1047266347,0.067001,-0.826943,-0.285504,-0.479753,0.177595,-0.230084,0.267310
13,1047283014,0.065956,-0.826495,-0.285016,-0.480959,0.304627,-0.246523,0.145919
14,1047299681,0.064923,-0.826217,-0.284757,-0.481728,0.077189,-0.153006,0.006892
15,1047316348,0.063531,-0.826243,-0.284626,-0.481948,-0.256187,-0.267772,0.197993
16,1047333015,0.061335,-0.826058,-0.284431,-0.482664,-0.343695,-0.178963,0.319237
17,1047349682,0.059531,-0.825626,-0.284182,-0.483775,-0.303157,0.224602,0.105886
18,1047366349,0.059300,-0.825117,-0.284328,-0.484585,-0.280060,0.157108,0.135946
19,1047383016,0.059030,-0.824700,-0.284465,-0.485247,-0.527231,-0.099525,0.397917
20,1047399683,0.058456,-0.824201,-0.284342,-0.486234,-0.651131,-0.019878,0.338012
21,1047416350,0.057990,-0.823427,-0.284351,-0.487595,-0.845722,0.066655,0.285006
22,1047433017,0.057386,-0.822186,-0.284520,-0.489658,-0.921577,0.296208,0.283905
23,1047449684,0.056763,-0.820266,-0.284928,-0.492704,-0.863039,0.484237,0.213234
24,1047466351,0.056589,-0.818234,-0.285468,-0.495780,-0.646198,0.522871,-0.198768
25,1047483018,0.056810,-0.817223,-0.286046,-0.497088,-0.418879,0.143768,-0.423011
26,1047499685,0.056355,-0.817665,-0.286639,-0.496071,-0.250204,0.002676,-0.288462
27,1047516352,0.056833,-0.818094,-0.286672,-0.495289,0.023082,0.321764,0.229523
28,1047533019,0.057958,-0.817364,-0.286916,-0.496222,0.131679,-0.161554,0.230466
29,1047549686,0.056871,-0.816598,-0.286509,-0.497841,0.421142,-0.021600,-0.299665
30,1047566353,0.057304,-0.816121,-0.286417,-0.498626,0.801322,0.074271,-0.497038
31,1047583020,0.058344,-0.816166,-0.286460,-0.498407,0.570036,-0.114971,-0.272886
32,1047599687,0.058602,-0.816275,-0.286132,-0.498385,0.355792,-0.186946,-0.057124
33,1047616354,0.058801,-0.816451,-0.285518,-0.498426,0.405076,-0.177394,-0.112267
34,1047633021,0.058983,-0.816877,-0.284494,-0.498291,0.376976,-0.236487,-0.003173
35,1047649688,0.058834,-0.817497,-0.283262,-0.497996,0.392723,-0.137789,0.102787
36,1047666355,0.059582,-0.818186,-0.282201,-0.497378,0.306196,-0.284454,0.190613
37,1047683022,0.059106,-0.819678,-0.279625,-0.496430,0.239243,-0.201842,0.077103
38,1047699689,0.058828,-0.821691,-0.276757,-0.494741,0.551874,-0.243898,0.079530
39,1047716356,0.057857,-0.824192,-0.273429,-0.492540,0.498660,-0.393157,0.138956
40,1047733023,0.056757,-0.827020,-0.269678,-0.489989,0.301975,-0.245737,0.096933
41,1047749690,0.055498,-0.830003,-0.265606,-0.487306,0.134883,-0.094541,0.172795
42,1047766357,0.054261,-0.832619,-0.261425,-0.485240,-0.036967,0.216642,0.188653
43,1047783024,0.052764,-0.835026,-0.257243,-0.483500,-0.092978,0.275533,0.023884
