sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-06-13_13:07:21_668 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1600140359,0.388850,0.642365,-0.486807,0.446300,-0.077476,0.014106,0.091941
2,1600157026,0.388951,0.643193,-0.486469,0.445388,-0.092629,0.013893,0.134225
3,1600173693,0.389220,0.643959,-0.486057,0.444494,-0.051849,-0.030121,0.069189
4,1600190360,0.389350,0.644503,-0.485795,0.443877,-0.038951,-0.012260,0.020443
5,1600207027,0.389248,0.645006,-0.485786,0.443247,-0.089708,-0.014716,0.086340
6,1600223694,0.389025,0.645603,-0.485875,0.442474,-0.058894,-0.014707,0.237312
7,1600240361,0.388796,0.646210,-0.486028,0.441621,-0.040437,-0.074262,0.352332
8,1600257028,0.389151,0.646424,-0.486030,0.440993,-0.021550,-0.013035,0.449783
9,1600273695,0.390338,0.646083,-0.485798,0.440698,0.039125,0.088220,0.423925
10,1600290362,0.391693,0.645612,-0.485448,0.440572,0.172831,0.154337,0.288029
11,1600307029,0.392672,0.645315,-0.485260,0.440342,0.261796,0.154158,0.128461
12,1600323696,0.393159,0.645235,-0.485214,0.440077,0.294192,0.126440,0.067536
13,1600340363,0.393464,0.645104,-0.485216,0.439994,0.317569,0.094971,0.092302
14,1600357030,0.393760,0.644699,-0.485155,0.440389,0.243134,0.104166,0.063192
15,1600373697,0.394069,0.644100,-0.485161,0.440983,0.171181,0.039088,-0.065300
16,1600390364,0.394034,0.643662,-0.485408,0.441382,0.101539,-0.011733,-0.116323
17,1600407031,0.393674,0.643447,-0.485846,0.441534,-0.023801,-0.071957,-0.071862
18,1600423698,0.393257,0.643355,-0.486318,0.441520,-0.138217,-0.219027,-0.099883
19,1600440365,0.393044,0.643266,-0.486681,0.441439,-0.116413,-0.254860,-0.027034
20,1600457032,0.393188,0.642993,-0.486840,0.441534,-0.058239,-0.200903,-0.014093
21,1600473699,0.393458,0.642640,-0.486955,0.441681,0.061252,-0.141212,-0.031149
22,1600490366,0.393558,0.642367,-0.487161,0.441761,0.136972,-0.059005,0.002967
23,1600507033,0.393381,0.642176,-0.487532,0.441788,0.169404,-0.008689,0.072397
24,1600523700,0.393207,0.641862,-0.487896,0.441997,0.073038,0.003395,0.124890
25,1600540367,0.393187,0.641404,-0.488230,0.442311,0.034292,0.022133,0.137544
26,1600557034,0.393178,0.640966,-0.488600,0.442545,-0.029673,0.001637,0.059229
27,1600573701,0.392870,0.640850,-0.489178,0.442348,-0.047794,-0.026900,0.057699
28,1600590368,0.392700,0.640731,-0.489718,0.442072,-0.054267,0.016540,0.208144
29,1600607035,0.393019,0.640296,-0.490080,0.442019,-0.036328,0.029087,0.219828
30,1600623702,0.393534,0.639689,-0.490367,0.442121,-0.002420,0.084047,0.108105
31,1600640369,0.393761,0.639304,-0.490818,0.441976,0.022538,0.012086,-0.043776
32,1600657036,0.393618,0.639278,-0.491439,0.441450,0.056523,0.006297,0.049139
33,1600673703,0.393537,0.639189,-0.491941,0.441091,0.105646,-0.004184,0.147781
34,1600690370,0.394002,0.638684,-0.492199,0.441120,0.055101,0.070128,0.204066
35,1600707037,0.394700,0.637997,-0.492261,0.441422,0.079017,0.131815,0.120831
36,1600723704,0.395034,0.637584,-0.492395,0.441570,0.050674,0.150752,-0.031042
37,1600740371,0.394933,0.637517,-0.492834,0.441268,0.033805,0.160412,-0.030665
38,1600757038,0.394777,0.637488,-0.493387,0.440829,0.027255,0.125729,0.085654
39,1600773705,0.394838,0.637302,-0.493793,0.440591,0.050161,0.062756,0.115415
40,1600790372,0.395117,0.636902,-0.494055,0.440625,0.077475,0.073228,0.136920
41,1600807039,0.395418,0.636464,-0.494211,0.440813,0.019178,0.088970,0.024638
42,1600823706,0.395579,0.636241,-0.494579,0.440576,-0.050160,0.107773,-0.036320
43,1600840373,0.395330,0.636348,-0.495216,0.439930,-0.047558,0.118817,0.072344
44,1600857040,0.395081,0.636527,-0.495876,0.439151,0.004210,0.041872,0.085960
45,1600873707,0.394911,0.636598,-0.496462,0.438538,0.124775,-0.034970,0.098952
46,1600890374,0.394962,0.636388,-0.496846,0.438362,0.107370,-0.019092,0.110784
47,1600907041,0.395172,0.635994,-0.497180,0.438367,0.142074,0.023265,0.095005
48,1600923708,0.395408,0.635596,-0.497418,0.438460,0.047702,0.062776,0.118106
49,1600940375,0.395709,0.635276,-0.497712,0.438319,0.047896,0.146847,0.122014
50,1600957042,0.395788,0.635164,-0.498081,0.437991,0.038995,0.055631,0.005767
51,1600973709,0.395665,0.635283,-0.498572,0.437369,0.040506,-0.040607,0.000484
52,1600990376,0.395796,0.635222,-0.498841,0.437034,-0.041035,0.072475,0.194627
53,1601007043,0.396463,0.634735,-0.499132,0.436804,0.082623,0.062759,0.101032
54,1601023710,0.396920,0.634301,-0.499506,0.436592,0.256347,0.110660,0.047379
55,1601040377,0.396753,0.634254,-0.499979,0.436271,0.221240,0.115063,0.001852
56,1601057044,0.396141,0.634581,-0.500522,0.435728,0.140947,0.020166,0.037919
57,1601073711,0.395868,0.634591,-0.500935,0.435486,0.130647,0.070359,0.223490
58,1601090378,0.396473,0.633967,-0.500911,0.435872,0.064657,0.200077,0.263613
59,1601107045,0.397013,0.633462,-0.500900,0.436129,0.117312,0.154552,-0.046299
60,1601123712,0.396839,0.633523,-0.501368,0.435661,0.238299,0.149769,-0.087462
61,1601140379,0.396280,0.633834,-0.502218,0.434736,0.337373,0.119718,0.009593
62,1601157046,0.395509,0.634198,-0.502945,0.434066,0.333941,0.028502,0.102879
63,1601173713,0.395116,0.634166,-0.503370,0.433980,0.259182,-0.004116,0.151606
64,1601190380,0.395148,0.633850,-0.503467,0.434299,0.165021,0.032497,0.139981
65,1601207047,0.395096,0.633636,-0.503574,0.434534,0.126255,0.061333,0.060807
