sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-06-13_15:03:36_901 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1083274117,0.142856,0.770379,-0.238421,0.573820,0.022071,-0.020843,0.124023
2,1083290784,0.141929,0.769077,-0.238978,0.575561,-0.016310,-0.042713,0.008120
3,1083307451,0.140997,0.767829,-0.239304,0.577320,-0.109683,-0.018955,-0.018098
4,1083324118,0.140245,0.766941,-0.239685,0.578523,-0.190727,-0.024332,0.049159
5,1083340785,0.139769,0.766456,-0.239936,0.579177,-0.211028,0.046185,0.114922
6,1083357452,0.139434,0.766277,-0.240233,0.579371,-0.064237,0.117225,0.120414
7,1083374119,0.138617,0.766183,-0.240629,0.579528,0.124407,0.169029,0.091387
8,1083390786,0.137201,0.765935,-0.241225,0.579944,0.229079,0.121684,0.091220
9,1083407453,0.135265,0.765337,-0.241911,0.580902,0.272903,0.033724,0.115535
10,1083424120,0.133150,0.764162,-0.242652,0.582625,0.092125,-0.098070,0.278955
11,1083440787,0.131768,0.762384,-0.243255,0.585012,-0.172480,-0.256407,0.389663
12,1083457454,0.131400,0.760246,-0.243579,0.587737,-0.215122,-0.273739,0.246585
13,1083474121,0.131404,0.758021,-0.243585,0.590601,-0.094299,-0.105759,-0.007582
14,1083490788,0.131202,0.756133,-0.243632,0.593041,-0.041971,-0.002078,-0.163865
15,1083507455,0.130372,0.754961,-0.243857,0.594622,0.042325,-0.066718,-0.155219
16,1083524122,0.128972,0.754194,-0.244338,0.595703,0.012553,-0.176697,-0.007713
17,1083540789,0.127352,0.753408,-0.244987,0.596778,0.032248,-0.210743,0.251806
18,1083557456,0.126018,0.752119,-0.245777,0.598361,-0.067095,-0.315668,0.238969
19,1083574123,0.125053,0.750255,-0.246562,0.600575,-0.081203,-0.355165,-0.001938
20,1083590790,0.124225,0.748153,-0.247268,0.603075,-0.265655,-0.341443,-0.096556
21,1083607457,0.123777,0.746482,-0.248007,0.604931,-0.398902,-0.239094,-0.062310
22,1083624124,0.123422,0.745668,-0.248755,0.605700,-0.244409,-0.043328,0.016812
23,1083640791,0.122941,0.745444,-0.249431,0.605795,-0.119523,0.017186,0.014061
24,1083657458,0.122460,0.745261,-0.250050,0.605862,-0.000447,0.003489,0.017225
25,1083674125,0.122009,0.744860,-0.250602,0.606219,-0.010947,0.006337,0.072437
26,1083690792,0.121759,0.744274,-0.251244,0.606723,0.007776,0.006339,0.078633
27,1083707459,0.121376,0.743847,-0.252016,0.607003,0.067714,-0.069407,0.113325
28,1083724126,0.120974,0.743487,-0.252876,0.607167,0.029263,-0.141003,0.200656
29,1083740793,0.120943,0.742788,-0.253966,0.607573,0.098980,-0.182821,0.159578
30,1083757460,0.121023,0.741917,-0.255079,0.608155,0.174724,-0.120397,0.206702
31,1083774127,0.121604,0.740640,-0.256441,0.609023,0.242799,-0.044797,0.192847
32,1083790794,0.122116,0.739424,-0.257503,0.609949,0.487991,-0.000882,0.130021
33,1083807461,0.122199,0.738162,-0.258605,0.610994,0.595480,0.137062,0.180039
34,1083824128,0.121845,0.736862,-0.259986,0.612046,0.579333,0.200572,0.462948
35,1083840795,0.121414,0.735421,-0.261264,0.613320,0.597602,0.208362,0.806706
36,1083857462,0.120802,0.733563,-0.262175,0.615273,0.762656,0.143533,0.960282
37,1083874129,0.120433,0.730156,-0.262785,0.619126,0.648846,0.114711,0.886662
38,1083890796,0.120130,0.724964,-0.262967,0.625179,0.307646,0.170435,0.643226
39,1083907463,0.119861,0.719290,-0.263100,0.631695,-0.080185,0.299161,0.338333
40,1083924130,0.119386,0.714772,-0.263331,0.636796,-0.058336,0.384120,0.033783
41,1083940797,0.117485,0.712252,-0.264336,0.639551,0.096031,0.370921,0.216699
42,1083957464,0.114343,0.710643,-0.265972,0.641230,0.252053,0.045386,0.466760
43,1083974131,0.111187,0.708147,-0.267473,0.643917,0.489582,-0.188879,0.660979
44,1083990798,0.109037,0.703015,-0.267843,0.649728,0.451883,-0.342597,0.221950
45,1084007465,0.107329,0.695904,-0.267908,0.657594,-0.167153,0.062456,0.369430
46,1084024132,0.105867,0.688811,-0.267684,0.665343,-0.382440,0.333680,-0.255668
47,1084040799,0.103714,0.683202,-0.267282,0.671598,-0.548846,0.539599,-0.665776
48,1084057466,0.100658,0.679781,-0.267191,0.675559,-0.722418,0.519644,-0.517402
49,1084074133,0.097490,0.678310,-0.267214,0.677491,-0.715687,0.327338,-0.346340
50,1084090800,0.094304,0.676942,-0.267271,0.679285,-0.331779,0.159850,-0.194663
51,1084107467,0.091417,0.675194,-0.267176,0.681453,-0.232647,0.140940,0.187579
52,1084124134,0.088840,0.673268,-0.266820,0.683835,-0.170265,0.057835,0.283320
53,1084140801,0.086356,0.670831,-0.266582,0.686635,-0.186292,-0.067854,0.115603
54,1084157468,0.084064,0.667922,-0.266593,0.689744,-0.427220,-0.040927,0.147539
55,1084174135,0.082602,0.664444,-0.266226,0.693412,-0.575020,0.112197,-0.040563
56,1084190802,0.081279,0.661034,-0.265763,0.696995,-0.605785,0.592745,-0.077308
57,1084207469,0.079692,0.658655,-0.265108,0.699675,-0.276739,0.892508,-0.465051
58,1084224136,0.076914,0.658074,-0.264256,0.700854,-0.181491,0.330942,-0.816128
59,1084240803,0.074260,0.658377,-0.263626,0.701093,-0.569802,-0.522971,-0.750555
60,1084257470,0.072813,0.658699,-0.263775,0.700886,-0.741948,-0.989709,-0.449686
61,1084274137,0.072513,0.658956,-0.264388,0.700445,-0.639332,-0.965999,-0.029028
62,1084290804,0.073315,0.658629,-0.265546,0.700231,-0.251370,-0.477954,0.222956
63,1084307471,0.074581,0.657835,-0.266617,0.700437,-0.035841,-0.064168,0.241538
64,1084324138,0.076192,0.656079,-0.267290,0.701653,-0.082313,0.357556,0.126548
65,1084340805,0.077997,0.653645,-0.267810,0.703526,0.255526,0.462069,-0.668009
66,1084357472,0.078477,0.653603,-0.268906,0.703092,-0.186720,0.071354,-0.838090
67,1084374139,0.078648,0.655909,-0.270492,0.700313,-0.359940,-0.389863,-0.497211
68,1084390806,0.079883,0.657400,-0.272357,0.698048,-0.052195,-0.296140,0.011800
69,1084407473,0.081812,0.657376,-0.274183,0.697132,-0.054135,-0.168606,0.180171
70,1084424140,0.084494,0.656585,-0.275838,0.696904,0.099667,0.143485,-0.030123
71,1084440807,0.086853,0.656054,-0.277807,0.696332,0.163011,0.242950,-0.382175
