sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-06-13_15:21:01_070 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2127543795,0.090474,0.751477,-0.334596,0.561385,0.018999,0.007377,0.058110
2,2127560462,0.090198,0.751285,-0.334558,0.561709,-0.006082,0.014433,0.092861
3,2127577129,0.090038,0.751271,-0.334672,0.561686,0.033557,-0.029064,0.108163
4,2127593796,0.089994,0.751166,-0.334748,0.561788,0.057811,-0.027866,0.157789
5,2127610463,0.090021,0.750833,-0.334798,0.562200,0.063068,0.057320,0.157305
6,2127627130,0.089840,0.750461,-0.334967,0.562624,0.012806,0.075483,0.140480
7,2127643797,0.089593,0.750263,-0.335201,0.562789,0.007813,0.075911,0.111649
8,2127660464,0.089368,0.750329,-0.335492,0.562562,0.045258,0.060316,0.134633
9,2127677131,0.089193,0.750497,-0.335822,0.562169,0.046177,0.093671,0.235564
10,2127693798,0.089031,0.750557,-0.336164,0.561909,0.034944,0.120979,0.299665
11,2127710465,0.088605,0.750476,-0.336280,0.562016,0.031363,0.127459,0.292239
12,2127727132,0.088205,0.750361,-0.336423,0.562147,-0.002705,0.036341,0.218482
13,2127743799,0.087992,0.750281,-0.336660,0.562144,0.038538,0.040850,0.183158
14,2127760466,0.087901,0.750115,-0.336879,0.562250,0.035448,0.079879,0.216022
15,2127777133,0.087744,0.749822,-0.337001,0.562592,-0.011225,0.110646,0.153562
16,2127793800,0.087604,0.749531,-0.337157,0.562908,-0.198966,0.067018,0.141541
17,2127810467,0.087358,0.749633,-0.337301,0.562724,-0.253100,-0.020849,0.142059
18,2127827134,0.087138,0.750102,-0.337642,0.561929,-0.191449,-0.152853,0.203704
19,2127843801,0.087319,0.750348,-0.338075,0.561311,-0.045891,-0.096745,0.293988
20,2127860468,0.087664,0.750121,-0.338339,0.561402,-0.000438,0.058026,0.278276
21,2127877135,0.087795,0.749678,-0.338360,0.561960,-0.069758,0.104253,0.170103
22,2127893802,0.087632,0.749503,-0.338198,0.562316,-0.073292,0.075180,0.094495
23,2127910469,0.087374,0.749522,-0.338121,0.562377,-0.025494,0.060238,0.103305
24,2127927136,0.087145,0.749358,-0.337997,0.562706,0.009082,-0.016037,0.156069
25,2127943803,0.086753,0.749103,-0.337762,0.563246,-0.004293,-0.101867,0.171397
26,2127960470,0.086295,0.748798,-0.337543,0.563854,0.037151,-0.138805,0.137805
27,2127977137,0.086148,0.748140,-0.337448,0.564805,-0.021851,-0.065437,0.164924
28,2127993804,0.086041,0.747312,-0.337224,0.566050,-0.087755,0.013576,0.181578
29,2128010471,0.085617,0.746789,-0.336950,0.566967,-0.115783,-0.020783,0.143484
30,2128027138,0.085251,0.746412,-0.336802,0.567606,-0.140695,-0.018769,0.203948
31,2128043805,0.085022,0.745801,-0.336841,0.568420,-0.097113,0.054537,0.286707
32,2128060472,0.084530,0.744951,-0.337051,0.569482,-0.141263,0.033472,0.296709
33,2128077139,0.083890,0.743992,-0.337508,0.570560,-0.166121,-0.015456,0.216805
34,2128093806,0.083438,0.743051,-0.338241,0.571417,-0.024908,0.022753,0.194543
35,2128110473,0.082982,0.742339,-0.339048,0.571930,0.159715,0.076683,0.224408
36,2128127140,0.082345,0.741677,-0.339891,0.572381,0.107922,0.055579,0.303746
37,2128143807,0.081787,0.740563,-0.340955,0.573270,-0.032470,0.003400,0.332916
38,2128160474,0.081329,0.739281,-0.342142,0.574282,-0.183247,-0.146693,0.318923
39,2128177141,0.081160,0.737985,-0.343669,0.575060,-0.271348,-0.275598,0.302791
40,2128193808,0.081144,0.736321,-0.345278,0.576230,-0.342614,-0.301781,0.405511
41,2128210475,0.080348,0.734067,-0.346251,0.578629,0.063968,-0.172420,0.226760
42,2128227142,0.078833,0.731577,-0.347288,0.581363,0.201477,-0.292728,-0.019538
43,2128243809,0.078837,0.728851,-0.347945,0.584386,0.137588,-0.496687,-0.103790
44,2128260476,0.080366,0.725407,-0.347350,0.588799,-0.060972,0.079205,-0.017234
45,2128277143,0.079688,0.722248,-0.345968,0.593570,-0.072250,0.271518,-0.199265
46,2128293810,0.076201,0.721740,-0.344574,0.595454,-0.797623,-0.406854,-0.065162
47,2128310477,0.073454,0.722803,-0.342262,0.595842,-0.636211,-0.814196,-0.022116
48,2128327144,0.070779,0.723423,-0.339837,0.596801,-0.285236,-0.937287,0.196699
49,2128343811,0.068377,0.722319,-0.336810,0.600125,-0.104177,-0.968975,0.258108
50,2128360478,0.067160,0.719837,-0.333662,0.604983,-0.056771,-0.757412,-0.166241
51,2128377145,0.066692,0.716625,-0.331148,0.610208,-0.184221,-0.366186,-0.496935
52,2128393812,0.066021,0.713562,-0.329276,0.614865,-0.344305,-0.000552,-0.715433
53,2128410479,0.064547,0.712010,-0.328572,0.617193,-0.535490,0.113473,-0.644277
54,2128427146,0.062352,0.711994,-0.328280,0.617592,-0.819850,-0.055099,-0.194715
55,2128443813,0.059935,0.712683,-0.327836,0.617273,-0.854797,-0.369383,0.161185
56,2128460480,0.057777,0.712969,-0.327291,0.617438,-0.752902,-0.637949,0.390482
57,2128477147,0.056468,0.711552,-0.326737,0.619483,-0.737646,-0.822934,0.304735
