sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-06-13_15:34:29_488 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2935885300,0.114747,0.768210,-0.262753,0.572419,0.009585,-0.041444,0.121289
2,2935901967,0.114789,0.768230,-0.262326,0.572581,0.013421,-0.013792,0.093282
3,2935918634,0.114717,0.768258,-0.262126,0.572649,0.045591,0.045351,0.058497
4,2935935301,0.114147,0.768386,-0.262029,0.572635,0.044998,0.017076,0.097710
5,2935951968,0.113283,0.768605,-0.261719,0.572655,0.096086,0.000830,0.082177
6,2935968635,0.112452,0.768605,-0.261534,0.572902,0.021474,0.012517,0.050405
7,2935985302,0.111784,0.768765,-0.261498,0.572836,0.026563,0.091261,0.012682
8,2936001969,0.111139,0.769105,-0.261625,0.572447,0.122745,0.047546,0.031054
9,2936018636,0.110489,0.769216,-0.261813,0.572337,0.129998,0.048473,0.098720
10,2936035303,0.109764,0.769267,-0.261999,0.572322,0.023481,0.034945,0.060335
11,2936051970,0.109176,0.769357,-0.262196,0.572224,-0.026573,-0.015012,0.072142
12,2936068637,0.108662,0.769399,-0.262318,0.572209,-0.003672,-0.043112,0.018209
13,2936085304,0.108099,0.769513,-0.262447,0.572104,-0.101817,-0.121819,0.009921
14,2936101971,0.107797,0.769611,-0.262695,0.571915,-0.072843,-0.094430,0.057739
15,2936118638,0.107577,0.769682,-0.262967,0.571736,0.038519,-0.015348,0.050908
16,2936135305,0.107315,0.769763,-0.263283,0.571531,0.074962,0.030892,0.008570
17,2936151972,0.106891,0.769825,-0.263568,0.571396,-0.037229,0.042022,0.052776
18,2936168639,0.106476,0.769952,-0.263949,0.571126,-0.174590,-0.007827,0.044615
19,2936185306,0.106182,0.770162,-0.264429,0.570675,-0.046902,-0.019976,0.060611
20,2936201973,0.105856,0.770364,-0.264843,0.570271,0.050817,0.055878,0.088493
21,2936218640,0.105393,0.770561,-0.265163,0.569942,0.043236,0.096257,0.084638
22,2936235307,0.104849,0.770805,-0.265493,0.569559,0.006662,0.105770,0.107629
