sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-06-13_13:49:18_350 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4116814907,0.306564,0.772162,-0.366761,0.418671,0.039711,0.078505,0.002433
2,4116831574,0.304950,0.772411,-0.366942,0.419232,-0.085117,-0.042764,0.003989
3,4116848241,0.303905,0.773116,-0.366887,0.418738,-0.044305,-0.203941,-0.015116
4,4116864908,0.303542,0.773387,-0.366782,0.418593,-0.205061,-0.281540,0.131158
5,4116881575,0.304744,0.773004,-0.367061,0.418182,-0.271714,-0.459887,0.083971
6,4116898242,0.306490,0.771993,-0.367386,0.418487,-0.139033,-0.528346,0.155282
7,4116914909,0.308291,0.770529,-0.367385,0.419863,0.044335,-0.451218,0.215320
8,4116931576,0.309939,0.769121,-0.367431,0.421188,0.273481,-0.436821,-0.017292
9,4116948243,0.310489,0.768267,-0.367633,0.422163,0.365316,-0.348891,0.061473
10,4116964910,0.310520,0.767483,-0.367980,0.423263,0.284817,-0.157498,0.337706
11,4116981577,0.310434,0.766509,-0.368287,0.424823,0.197205,-0.166594,0.176177
12,4116998244,0.310247,0.765531,-0.368540,0.426499,-0.052761,-0.168550,-0.085996
13,4117014911,0.310146,0.764754,-0.368802,0.427738,-0.200137,-0.017165,-0.121304
14,4117031578,0.309847,0.764145,-0.369093,0.428792,-0.076869,0.245467,0.085579
15,4117048245,0.309276,0.763722,-0.369264,0.429808,0.111233,0.429828,0.310606
16,4117064912,0.308905,0.763337,-0.369603,0.430467,0.173378,0.401010,0.047433
17,4117081579,0.308523,0.763143,-0.370125,0.430636,0.051136,0.236866,-0.157739
18,4117098246,0.308033,0.763232,-0.370719,0.430319,-0.057081,0.132304,-0.128448
19,4117114913,0.307585,0.763512,-0.371184,0.429741,-0.090019,0.104919,-0.057056
20,4117131580,0.307390,0.763942,-0.371528,0.428818,-0.100281,0.094297,-0.145431
21,4117148247,0.306896,0.764706,-0.371923,0.427465,0.037004,0.106704,-0.109909
22,4117164914,0.306084,0.765701,-0.372535,0.425730,-0.038012,0.089383,0.053780
23,4117181581,0.305417,0.766546,-0.373294,0.424021,0.017109,0.038197,0.129801
24,4117198248,0.305105,0.767177,-0.373821,0.422638,0.153871,-0.014770,0.024478
25,4117214915,0.305045,0.767525,-0.373913,0.421967,0.248013,0.159365,0.055047
26,4117231582,0.304678,0.767829,-0.373941,0.421654,-0.058829,0.267941,-0.039637
27,4117248249,0.303121,0.769308,-0.374137,0.419903,-0.121258,0.115963,-0.332728
28,4117264916,0.299423,0.772710,-0.374335,0.416117,0.129537,0.103969,-0.091596
29,4117281583,0.295572,0.776656,-0.374861,0.411019,0.130010,0.029104,0.471244
30,4117298250,0.291532,0.780467,-0.375537,0.406037,0.284326,-0.365128,0.430659
31,4117314917,0.287813,0.783429,-0.376130,0.402421,0.023203,-0.592052,0.591647
32,4117331584,0.286725,0.784064,-0.375801,0.402269,-0.182611,-0.175854,1.079159
33,4117348251,0.288825,0.782262,-0.373962,0.405971,-0.127779,0.209080,0.612164
34,4117364918,0.291775,0.779958,-0.371777,0.410279,-0.064803,0.332981,-0.354112
35,4117381585,0.293175,0.778972,-0.370642,0.412177,0.087795,0.497409,-0.628973
36,4117398252,0.292700,0.779286,-0.370630,0.411932,0.185072,0.716247,-0.173925
37,4117414919,0.290886,0.780578,-0.371101,0.410344,0.106321,0.587289,-0.116161
38,4117431586,0.288161,0.782626,-0.372104,0.407447,-0.037134,0.213461,-0.207182
39,4117448253,0.285276,0.785011,-0.373714,0.403395,-0.055120,-0.165205,0.079944
40,4117464920,0.283321,0.786814,-0.374959,0.400092,-0.023495,-0.401826,0.286753
41,4117481587,0.283353,0.787026,-0.375427,0.399211,0.346465,-0.328522,0.085509
42,4117498254,0.284179,0.786485,-0.375136,0.399963,0.288104,-0.150274,-0.194482
43,4117514921,0.284496,0.786133,-0.375342,0.400237,-0.015114,-0.325853,-0.266099
44,4117531588,0.284446,0.786078,-0.376332,0.399451,-0.201447,-0.476081,0.315875
45,4117548255,0.285601,0.785150,-0.377419,0.399426,-0.122005,-0.209321,0.634536
46,4117564922,0.287535,0.783301,-0.377651,0.401443,0.036119,-0.076738,0.160012
47,4117581589,0.289212,0.781671,-0.377977,0.403108,-0.201516,-0.067397,-0.250006
48,4117598256,0.290523,0.780525,-0.378794,0.403617,-0.045992,0.173760,0.082439
49,4117614923,0.291484,0.779516,-0.379833,0.403898,0.092226,0.288160,0.378564
50,4117631590,0.292054,0.778651,-0.381117,0.403945,0.183352,0.109986,0.171943
51,4117648257,0.292204,0.778108,-0.382481,0.403594,0.244460,-0.183073,-0.048238
52,4117664924,0.291887,0.778041,-0.384047,0.402462,0.327083,-0.311180,0.079982
53,4117681591,0.291540,0.778063,-0.385609,0.401177,0.425125,-0.480962,0.192693
54,4117698258,0.290712,0.778067,-0.386529,0.400884,0.559110,-0.644989,0.218613
55,4117714925,0.289793,0.777878,-0.386597,0.401849,0.396674,-0.477680,0.429906
56,4117731592,0.289874,0.776928,-0.386288,0.403920,0.078343,-0.323389,0.441827
57,4117748259,0.291273,0.775241,-0.385840,0.406574,-0.000303,-0.106871,0.252673
58,4117764926,0.293884,0.772675,-0.385153,0.410217,0.007978,0.152167,0.164840
59,4117781593,0.296460,0.770191,-0.384516,0.413616,-0.037079,0.196323,0.026111
